contract_id,bruto_premie,netto_premie,lasten,kosten,splitsingskosten,kwijtingkosten,commissie,totaal_te_betalen
39454071,1697.90,1353.96,343.94,0.00,0.00,0.00,255.14,1697.90
39455414,738.38,596.36,142.02,0.00,0.00,0.00,102.82,738.38
39455852,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00
39456897,3177.94,2530.29,647.65,0.00,0.00,0.00,470.28,3177.94
39459245,188.45,162.81,25.64,0.00,0.00,0.00,42.60,188.45
39459420,484.99,419.00,65.99,0.00,0.00,0.00,112.05,484.99
39459423,661.50,571.49,90.01,0.00,0.00,0.00,153.22,661.50
39459432,320.00,276.46,43.54,0.00,0.00,0.00,73.56,320.00
39459435,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39459768,621.69,515.94,105.75,0.00,0.00,0.00,76.16,621.69
39459987,628.37,500.17,128.20,0.00,0.00,0.00,90.70,628.37
39460011,624.50,497.29,127.21,0.00,0.00,0.00,90.38,624.50
39460208,1858.64,1471.01,387.63,0.00,0.00,0.00,269.10,1858.64
39460211,568.13,491.92,76.21,0.00,0.00,0.00,132.85,568.13
39460214,106.09,97.11,8.98,24.28,0.00,0.00,21.85,106.09
39460215,542.03,431.48,110.55,0.00,0.00,0.00,75.20,542.03
39460218,1196.87,931.99,236.92,27.96,27.96,0.00,173.81,1196.87
39460233,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39461186,167.71,144.90,22.81,0.00,0.00,0.00,37.90,167.71
39461189,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39461192,872.94,691.69,181.25,0.00,0.00,0.00,119.38,872.94
39461325,2236.04,1780.27,455.77,0.00,0.00,0.00,333.12,2236.04
39461391,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39461451,1178.98,1018.56,160.42,0.00,0.00,0.00,203.71,1178.98
39462540,733.44,611.42,122.02,0.00,0.00,0.00,94.80,733.44
39462714,1322.31,1046.44,275.87,0.00,0.00,0.00,183.85,1322.31
39462777,3566.31,2935.47,630.84,0.00,0.00,0.00,446.73,3566.31
39462780,3566.31,2935.47,630.84,0.00,0.00,0.00,446.73,3566.31
39463640,450.58,364.81,85.77,0.00,0.00,0.00,51.21,450.58
39465039,716.85,571.39,145.46,0.00,0.00,0.00,98.68,716.85
39465402,4338.75,3569.88,768.87,0.00,0.00,0.00,626.00,4338.75
39466248,1649.53,1319.18,330.35,0.00,0.00,0.00,219.19,1649.53
39466392,3212.69,2548.40,664.29,0.00,0.00,0.00,471.17,3212.69
39467282,1708.34,1480.30,228.04,0.00,0.00,0.00,288.38,1708.34
39468174,534.95,426.66,108.29,0.00,0.00,0.00,78.21,534.95
39469697,189.45,173.41,16.04,0.00,0.00,0.00,34.69,189.45
39471597,560.35,484.10,76.25,0.00,0.00,0.00,129.48,560.35
39472323,3256.62,3051.24,205.38,0.00,0.00,0.00,409.92,3256.62
