betadr_id,bet_id,address_id,opmerking,naam,facturatieadres,correspondentieadres,domicilieadres
31800487,140658953,45152999,,,1,1,1
31800551,140659017,45153107,,,1,1,1
31800555,140659021,45153111,,,1,1,1
31800623,140659095,45153229,,,1,1,1
31800625,140659097,45153231,,,0,0,0
31800627,140659099,45153233,,,0,0,0
31800760,140659220,45153448,,,1,0,1
31800764,140659224,45153452,,,1,0,1
31800770,140659228,45153464,,,1,0,1
31800776,140659234,45153472,,,1,0,1
31801005,140659477,45153915,,,1,1,1
31801169,140659633,45154157,,,1,1,1
31801215,140659671,45154221,,,1,1,1
31801386,140659820,45154506,,,1,1,1
31801443,140659847,45154587,,,1,1,1
31801473,140659881,45154651,,,0,0,1
31801487,140659893,45154677,,,0,0,1
31801518,140659922,45154732,,,1,1,1
31801545,140659951,45154777,,,1,1,1
31801549,140659953,45154781,,,1,0,1
31801739,140660105,45155047,,,1,1,1
31801787,140660137,45155105,,,0,0,0
31802121,140660449,45155623,,,1,1,1
31802345,140660635,45156397,,,0,0,0
31802431,140660695,45156529,,,1,1,1
31802705,140660923,45157123,,,1,1,1
31802855,140660969,45157371,,,0,0,1
31802807,140660997,45157285,,,1,1,1
31803129,140661251,45157873,,,1,0,1
31803733,140661721,45158815,,,0,0,0
31846189,140662144,45228859,,,0,0,1
31804308,140662160,45159794,,,1,1,1
31804370,140662206,45159882,,,0,0,0
31804371,140662207,45159883,,,0,0,0
31805106,140662778,45161010,,,1,1,1
31805133,140662803,45161047,,,1,1,1
31805402,140663050,45161464,,,1,0,1
31805457,140663093,45161551,,,1,0,1
31807053,140663103,45164457,,,0,0,1
31805697,140663315,45161973,,,1,0,1
31805740,140663364,45162216,,,1,1,1
31805971,140663579,45162633,,,1,1,1
31806346,140663904,45163274,,,1,1,1
31806365,140663919,45163307,,,0,0,1
31806403,140663955,45163379,,,1,1,1
31806627,140664103,45163719,,,0,0,1
31806901,140664287,45164155,,,1,1,1
31806905,140664289,45164159,,,1,1,1
31806907,140664291,45164163,,,1,1,1
31806952,140664330,45164260,,,1,1,1
31807132,140664458,45164572,,,1,1,1
31807326,140664602,45164922,,,1,0,1
31807593,140664799,45165397,,,1,1,1
31807643,140664843,45165483,,,1,1,1
31807757,140664951,45165693,,,0,0,0
31807758,140664952,45165702,,,1,1,1
31807759,140664953,45165703,,,1,1,1
31807764,140664966,45165716,,,1,1,1
31807873,140665099,45165879,,,1,1,1
31807877,140665103,45165885,,,1,1,1
31808011,140665205,45166077,,,1,1,1
31808013,140665207,45166079,,,1,1,1
31808021,140665215,45166099,,,1,1,1
31824669,140665263,45192709,,,1,1,1
31830577,140665374,45202493,,,1,1,1
31808184,140665380,45166374,,,1,0,1
31824624,140665382,45192630,,,0,0,0
31824631,140679419,45192647,,,1,1,1
31824693,140679479,45192763,,,0,0,1
31824929,140679707,45193145,,,1,1,1
31824937,140679717,45193159,,,1,1,1
31825108,140679872,45193430,,,0,0,1
31825149,140679903,45193493,,,1,0,1
31825179,140679925,45193535,,,1,0,1
31825207,140679941,45193571,,,0,0,0
31825420,140679945,45193884,,,1,1,1
31825237,140679973,45193611,,,0,0,0
31881057,140679975,45288019,,,1,1,1
31825246,140679984,45193630,,,0,0,1
31825475,140680175,45193959,,,1,1,1
31825477,140680181,45193961,,,0,0,0
31825822,140680488,45194492,,,0,0,0
31826497,140681055,45195649,,,1,1,1
31826581,140681151,45195799,,,1,1,1
31826932,140681454,45196312,,,0,0,0
31827010,140681538,45196458,,,1,1,1
31827167,140681683,45196761,,,1,1,1
31828250,140681696,45198514,,,1,1,1
31827204,140681724,45196838,,,1,1,1
31827243,140681765,45196899,,,1,0,1
31827255,140681775,45196917,,,1,1,1
31827257,140681777,45196919,,,1,1,1
31827438,140681940,45197230,,,1,0,1
31827440,140681942,45197232,,,1,0,1
31827442,140681944,45197234,,,1,0,1
31829923,140682029,45201459,,,1,1,1
31827601,140682079,45197505,,,0,0,0
31827679,140682145,45197645,,,0,0,1
31827683,140682147,45197649,,,0,0,1
31827771,140682227,45197787,,,1,1,1
31827773,140682229,45197789,,,1,1,1
31828201,140682553,45198449,,,1,1,1
31828326,140682628,45198642,,,0,0,1
31828644,140682930,45199192,,,1,1,1
31828763,140683045,45199417,,,1,1,1
31828766,140683048,45199420,,,1,1,1
31829040,140683350,45199948,,,1,0,1
31829148,140683450,45200120,,,1,1,1
31829417,140683681,45200573,,,1,1,1
31829527,140683779,45200753,,,1,0,1
31830295,140684407,45202015,,,1,1,1
31830375,140684481,45202167,,,0,0,0
31880608,140684481,45287314,,,1,1,1
31830425,140684531,45202253,,,0,0,0
31880625,140684531,45287331,,,1,1,1
31830473,140684569,45202323,,,1,1,1
31830569,140684653,45202485,,,1,1,1
31833179,140684661,45206911,,,0,0,0
31830599,140684681,45202533,,,1,1,1
31830657,140684741,45202615,,,1,1,1
31830779,140684821,45202801,,,1,1,1
31830921,140684929,45203061,,,1,1,1
31830934,140684942,45203080,,,1,1,1
31831099,140685087,45203359,,,1,1,1
31831101,140685089,45203361,,,1,1,1
31831144,140685140,45203438,,,1,1,1
31831146,140685144,45203440,,,1,1,1
31831234,140685228,45203606,,,0,0,1
31831400,140685384,45203866,,,1,0,1
31831402,140685386,45203870,,,1,0,1
31831446,140685433,45203972,,,1,1,1
31831448,140685435,45203974,,,1,1,1
31831559,140685537,45204167,,,1,1,1
31831561,140685539,45204173,,,1,1,1
31831889,140685841,45204757,,,1,1,1
31832143,140686045,45205149,,,1,0,1
31832145,140686047,45205151,,,1,0,1
31832193,140686081,45205243,,,1,1,1
31832366,140686234,45205544,,,1,1,1
31832574,140686410,45205880,,,1,1,1
31832605,140686435,45205929,,,1,1,1
31832641,140686459,45205981,,,0,0,0
31904221,140686459,45328501,,,1,1,1
31832647,140686463,45205995,,,1,1,1
31833187,140686883,45206923,,,1,1,1
31833193,140686887,45206929,,,0,0,0
31833415,140687125,45207337,,,1,1,1
31833425,140687139,45207359,,,1,1,1
31833427,140687141,45207361,,,1,1,1
31833569,140687227,45207579,,,0,0,0
31833577,140687237,45207597,,,1,1,1
31833591,140687249,45207641,,,1,1,1
31833683,140687335,45207819,,,1,1,1
31833687,140687339,45207825,,,1,1,1
31833691,140687343,45207829,,,1,1,1
31833693,140687345,45207833,,,1,1,1
31833695,140687347,45207835,,,1,1,1
31833774,140687402,45207968,,,1,1,1
31834032,140687642,45208448,,,1,1,1
31834216,140687794,45208758,,,1,1,1
31834222,140687800,45208764,,,1,1,1
31834593,140688105,45209511,,,0,0,0
31834713,140688211,45209683,,,1,1,1
31834803,140688287,45209829,,,1,1,1
31834831,140688311,45209889,,,1,0,1
31835093,140688537,45210299,,,1,1,1
31835398,140688854,45210822,,,1,1,1
31835402,140688856,45210834,,,1,1,1
31835407,140688861,45210845,,,1,0,1
31835409,140688863,45210847,,,1,0,1
31835425,140688877,45210877,,,1,1,1
31835887,140689299,45211665,,,1,1,1
31836798,140689307,45213326,,,1,1,1
31836157,140689537,45212125,,,1,1,1
31836311,140689685,45212423,,,1,0,1
31836329,140689705,45212451,,,1,0,1
31836787,140690089,45213305,,,1,1,1
31837697,140690945,45214905,,,1,1,1
31837935,140691149,45215301,,,1,0,1
31838057,140691273,45215497,,,1,1,1
31838061,140691275,45215501,,,1,1,1
31838152,140691368,45215688,,,1,1,1
31838382,140691540,45216100,,,1,1,1
31838768,140691872,45216748,,,1,0,1
31838845,140691951,45216873,,,1,0,1
31838855,140691961,45216889,,,0,0,0
31838891,140691993,45216937,,,1,1,1
31838907,140692011,45216957,,,1,1,1
31839466,140692488,45217952,,,1,1,1
31839853,140692791,45218535,,,1,1,1
31839915,140692843,45218641,,,1,1,1
31840267,140693119,45219123,,,1,0,1
31840426,140693308,45219384,,,1,1,1
31841527,140694283,45221145,,,1,1,1
31841593,140694347,45221253,,,1,1,1
31841674,140694394,45221398,,,1,1,1
31841880,140694542,45221698,,,1,0,1
31842135,140694739,45222129,,,1,1,1
31842919,140695405,45223435,,,1,0,1
31844184,140696512,45225438,,,0,1,0
31844567,140696831,45226061,,,1,0,1
31844597,140696861,45226103,,,1,1,1
31845040,140697216,45226914,,,1,1,1
31845048,140697224,45226930,,,1,0,1
31845052,140697230,45226938,,,1,1,1
31845368,140697542,45227466,,,1,0,1
31845381,140697549,45227483,,,1,1,1
31845441,140697613,45227577,,,0,0,1
31845509,140697667,45227695,,,1,1,1
31848069,140697672,45231943,,,0,0,1
31845727,140697851,45228089,,,1,0,1
31846143,140698215,45228775,,,0,0,0
31846371,140698383,45229181,,,1,0,1
31846810,140698812,45229906,,,1,0,1
31846949,140698905,45230159,,,0,0,1
31847589,140699455,45231177,,,1,1,0
31847683,140699527,45231335,,,1,0,1
31847686,140699528,45231338,,,1,0,1
31848036,140699804,45231866,,,1,0,1
31848345,140700047,45232365,,,1,1,1
31848494,140700144,45232600,,,1,0,1
31848762,140700342,45233056,,,0,0,1
31704645,140700441,45043215,,,0,0,0
31848903,140700443,45233299,,,0,1,1
31849232,140700730,45233882,,,1,0,1
31849236,140700736,45233888,,,0,0,1
31849373,140700855,45234103,,,1,0,1
31849375,140700857,45234105,,,1,0,1
31849377,140700859,45234107,,,1,0,1
31849743,140701159,45234691,,,1,1,1
31849749,140701163,45234697,,,1,1,1
31850001,140701274,45235139,,,1,1,1
31849899,140701283,45234953,,,1,0,1
31849903,140701287,45234957,,,1,0,1
31849905,140701289,45234959,,,1,0,1
31850291,140701629,45235571,,,1,1,1
31850567,140701885,45236053,,,1,0,1
31850874,140702152,45236564,,,1,1,1
31851107,140702353,45236955,,,1,0,1
31851122,140702368,45236984,,,1,1,1
31851275,140702497,45237327,,,1,1,1
31851289,140702497,45237341,,,0,0,0
31851355,140702563,45237459,,,1,0,1
31851373,140702579,45237483,,,1,0,1
31851815,140702971,45238257,,,1,1,1
31851859,140702999,45238325,,,1,0,1
31851861,140703001,45238329,,,1,1,1
31852009,140703113,45238579,,,1,1,1
31852756,140703217,45239784,,,1,1,1
31852301,140703373,45239067,,,1,0,1
31852330,140703386,45239112,,,0,0,1
31852726,140703694,45239724,,,1,1,1
31852807,140703757,45239871,,,0,0,1
31852910,140703759,45240044,,,1,1,1
31853042,140703952,45240254,,,1,0,1
31853882,140704666,45241654,,,1,1,1
31853929,140704701,45241733,,,1,1,1
31853936,140704708,45241742,,,0,0,0
31853965,140704731,45241795,,,0,0,1
31854075,140704861,45242027,,,0,0,1
31854146,140704918,45242130,,,1,0,1
31854153,140704927,45242137,,,1,0,1
31854580,140705232,45242812,,,0,0,1
31854665,140705293,45242927,,,1,0,1
31855217,140705743,45243899,,,0,0,1
31855221,140705747,45243911,,,0,0,1
31855245,140705769,45243945,,,1,1,1
31855320,140705824,45244064,,,0,0,0
31855321,140705825,45244073,,,0,0,1
31855331,140705833,45244089,,,1,1,1
31855341,140705847,45244109,,,0,0,1
31855351,140705855,45244119,,,1,0,1
31855759,140706217,45244867,,,1,1,1
31855767,140706223,45244875,,,1,1,1
31856103,140706499,45245471,,,1,1,1
31856309,140706673,45245827,,,1,0,1
31978495,140706815,45459585,,,0,0,1
31856626,140707008,45246378,,,1,1,1
31857014,140707408,45247116,,,1,1,1
31857019,140707411,45247121,,,1,1,1
31857090,140707461,45247218,,,1,1,1
31857095,140707485,45247229,,,1,1,1
31857415,140707487,45247793,,,1,1,1
31857366,140707740,45247706,,,1,0,1
31857429,140707787,45247821,,,1,1,1
31857809,140708069,45248431,,,1,1,1
31857921,140708173,45248617,,,1,1,1
31858241,140708441,45249141,,,1,1,1
31858270,140708460,45249192,,,1,0,1
31858310,140708492,45249278,,,0,0,1
31858441,140708627,45249559,,,1,0,1
31858451,140708643,45249573,,,1,0,1
31858634,140708810,45249842,,,1,1,1
31858643,140708817,45249853,,,1,0,1
31858707,140708867,45249943,,,1,1,1
31858716,140708874,45249952,,,1,1,1
31858756,140708912,45250012,,,1,1,1
31858776,140708928,45250036,,,0,0,0
31858823,140708959,45250117,,,1,1,1
31858832,140708964,45250136,,,1,0,1
31859251,140709293,45250845,,,1,0,1
31859487,140709497,45251221,,,1,1,1
31859722,140709696,45251630,,,1,1,1
31859754,140709724,45251694,,,1,0,1
31860753,140709750,45253451,,,1,1,1
31860003,140709955,45252109,,,1,1,1
31860118,140710056,45252302,,,1,1,1
31860129,140710083,45252315,,,0,0,1
31860273,140710207,45252543,,,1,1,1
31860287,140710211,45252565,,,0,0,0
31860296,140710216,45252578,,,1,1,1
31860299,140710219,45252585,,,1,1,1
31860493,140710399,45252953,,,1,0,1
31860514,140710416,45253008,,,1,1,1
31860534,140710440,45253048,,,1,1,1
31860548,140710456,45253064,,,1,1,1
31860561,140710465,45253077,,,1,1,1
31861304,140710661,45254434,,,1,1,1
31860795,140710679,45253501,,,1,0,1
31860801,140710685,45253517,,,1,1,1
31860799,140710687,45253515,,,1,0,1
31861096,140710920,45254034,,,0,0,1
31861441,140711221,45254673,,,1,0,1
31861580,140711334,45254946,,,1,0,1
31861860,140711574,45255454,,,0,0,1
31861927,140711625,45255553,,,1,1,1
31862063,140711729,45255785,,,1,0,1
31862206,140711864,45256018,,,1,0,1
31862489,140712125,45256507,,,1,1,0
31862553,140712185,45256643,,,0,0,1
31862907,140712499,45257245,,,1,0,1
31863119,140712685,45257605,,,1,1,1
31863127,140712685,45257617,,,0,0,0
31863271,140712781,45257861,,,1,0,1
31863287,140712795,45257895,,,0,0,1
31863421,140712907,45258103,,,1,1,1
31863763,140713227,45258709,,,1,0,1
31863959,140713355,45259021,,,1,1,1
31863977,140713369,45259051,,,1,1,1
31864019,140713411,45259143,,,1,1,1
31864047,140713431,45259183,,,1,1,1
31864056,140713440,45259214,,,1,1,1
31864765,140714069,45260469,,,0,1,1
31864839,140714143,45260581,,,1,0,1
31865177,140714467,45261233,,,1,0,1
31896747,140714589,45315491,,,1,1,1
31865357,140714619,45261541,,,1,1,1
31865603,140714847,45261977,,,1,0,1
31865617,140714853,45261999,,,0,0,0
31865793,140715035,45262355,,,1,1,1
31865857,140715113,45262491,,,0,0,1
31865959,140715199,45262685,,,1,0,1
31866153,140715371,45263015,,,1,1,1
31866203,140715427,45263085,,,1,0,1
31866648,140715778,45263810,,,1,1,1
31866638,140715780,45263796,,,1,1,1
31867175,140716247,45264635,,,1,1,1
31867197,140716277,45264685,,,1,1,1
31867571,140716579,45265325,,,0,0,0
31867683,140716693,45265517,,,1,1,1
31867981,140716913,45266067,,,1,0,1
31868082,140717056,45266276,,,1,1,1
31868213,140717167,45266459,,,0,0,1
31868887,140717657,45267739,,,0,0,1
31868844,140717786,45267680,,,0,0,1
31868897,140717833,45267757,,,0,0,1
31868917,140717851,45267787,,,1,1,0
31869213,140717863,45268227,,,0,0,1
31869397,140718259,45268513,,,1,0,1
31869771,140718571,45269105,,,1,1,1
31870199,140718943,45270069,,,1,0,1
31870305,140719033,45270249,,,1,1,1
31870419,140719133,45270489,,,1,1,1
31870785,140719185,45271103,,,1,1,1
31870506,140719192,45270624,,,1,0,1
31870761,140719407,45271061,,,1,1,1
31870923,140719541,45271357,,,1,1,1
31871015,140719639,45271493,,,1,1,1
31871607,140720123,45272581,,,1,0,1
31872167,140720623,45273557,,,1,0,1
31872209,140720677,45273647,,,0,1,1
31872310,140720744,45273806,,,1,0,1
31872469,140720891,45274055,,,1,0,1
31872571,140720969,45274209,,,0,1,1
31872659,140721043,45274375,,,1,0,1
31872675,140721065,45274401,,,1,0,1
31872683,140721069,45274415,,,1,1,1
31873302,140721660,45275580,,,0,0,1
31873635,140721917,45276209,,,1,1,1
31874729,140722325,45278232,,,0,0,1
31874435,140722583,45277701,,,0,0,0
31874514,140722583,45277822,,,1,1,1
31874535,140722669,45277863,,,0,0,1
31874573,140722699,45277927,,,1,1,1
31874583,140722713,45277947,,,1,1,1
31874953,140723028,45278619,,,0,0,0
31924429,140723028,45363785,,,1,1,1
31875219,140723255,45279062,,,1,0,1
31875234,140723265,45279084,,,1,0,1
31875301,140723328,45279195,,,0,0,1
31875396,140723413,45279359,,,1,0,1
31875504,140723529,45279554,,,1,0,1
31875552,140723590,45279623,,,0,0,1
31875962,140723610,45280396,,,1,1,1
31875840,140723939,45280214,,,1,1,1
31875976,140724033,45280419,,,0,0,1
31876552,140724568,45281452,,,0,0,0
31884100,140724568,45292862,,,1,1,1
