contract_id,splitsingscode_premie,totale_premie,netto_premie,lasten,kosten,splitsingskosten,commissie,totaal_te_betalen,afkoopwaarde_einde_vorigjaar,huidige_stand
33685621,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685625,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685629,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685633,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685637,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685641,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685645,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685649,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685657,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685665,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685669,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685673,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685677,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685681,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685685,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685689,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685693,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685697,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685709,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685717,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685721,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685725,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685733,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685737,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685741,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685745,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685749,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685753,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685761,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685765,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685773,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685777,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685781,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685785,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685793,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685797,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685801,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685813,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685817,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685821,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685825,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685829,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685833,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685841,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685845,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685849,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685857,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685865,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685869,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685881,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685885,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685897,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
