guid_fid,blockretours_id,GUID,aantal,communicatietekst
24453825,72300537,bcf19198-4dd3-4216-97d0-b2df680700f4,4,
24454392,72302236,eba49471-38c0-4b0c-bde4-14cb5614e153,7,
24454395,72302239,04ee8c02-81cb-48d3-9dbd-460b953007e0,7,
24454398,72302242,64d06a6c-a519-435d-ba0c-9a02e5b76814,7,
24454869,72302953,PSII-323952511-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24454893,72302994,PSII-323952638-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24455286,72307663,19a1573f-9945-424f-b925-cd5b0daa3194,5,
24455397,72308019,PSII-323969529-001,1,"Onderwerp: Geschil van KizilcaOp datum van 13/12/2022 op het contract 010624277205Onze referentie: 0604J2352501Bijgevoegd vindt u een aan u geadresseerde communicatie."
24455619,72308409,PSII-323973339-01,7,
24455955,72309291,PSII-323978479-001,1,"Onderwerp: Geschil van All-UpOp datum van 20/12/2022 op het contract 010624132073Onze referentie: 0604J2742201Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24456013,72310818,66D330287AFA4F278241F1C0EF861CAD,1,
24456018,72310975,9f68391c-e19a-483a-b0ac-f1f2753e38a5,7,
24456180,72313279,571b1b9d-f648-421c-ad5e-d1ac905c5cae,1,
24456381,72313825,PSII-323984708-01,7,
24456384,72313828,PSII-323984709-01,1,
24457615,72316044,PSII-324031575-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24457821,72316414,PSII-324033092-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24458044,72317169,PSII-324003944-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24458289,72317655,PSII-324008697-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24459598,72320280,509b56f2-12e9-4dcb-b2d9-31cf1ff0f52d,7,
24461080,72322974,2d6e1e08-920e-48a7-81f3-ca82a94df192,1,
24461115,72323037,0f0c6f91-a920-428f-af3b-fc389fdc1e30,6,
24462276,72324942,PSII-324091924-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24464070,72328186,3EEAB84DC25B45A1ADA34DB793FF22A1,1,
24464311,72328599,PSII-324123324-01,7,
24465145,72330214,c1b54a6c-9daf-45b4-abe6-c70adb8647ff,2,
24465826,72331177,PSII-324138922-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24467079,72333223,2d8013ce-f0c0-432f-a6d1-cb70cfa8d932,4,
24467110,72333262,PSII-324207176-001,1,"Onderwerp: Geschil van Time 2 TransOp datum van 19/04/2022 op het contract 010624058763Onze referentie: 0603J9570201Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24467113,72333265,PSII-324207176-002,1,"Onderwerp: Geschil van Time 2 TransOp datum van 19/04/2022 op het contract 010624058763Onze referentie: 0603J9570201Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24467653,72334410,6551dadd-5cfd-4f83-b8eb-744e66c2f476,5,
24467656,72334416,5d6dd568-18b1-41ef-9839-e54398552e14,8,
24467766,72334572,3ce432c5-0b94-40c1-a95c-064e4f7e64ea,1,
24468684,72335928,39c3f2db-c23d-4cc7-9892-aa803b75a98b,7,
24468786,72336082,7fc73f03-a9d3-4abd-8aa2-f318ebc0c2cf,1,
24469090,72336736,e1f0c140-2cb7-4dfa-87f6-976f1fd726f9,1,
24473287,72342349,PSII-324392656-001,1,"Onderwerp: Geschil van All-UpOp datum van 23/11/2022 op het contract 010623684769Onze referentie: 0604J1748701Bijgevoegd vindt u een aan u geadresseerde communicatie."
24474622,72344251,PSII-324400991-04,4,
24477544,72354900,PSII-324519949-01,8,
24478795,72357264,PSII-324547498-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24479100,72358008,PSII-324550687-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
