schadecontract_id,risico_id,bestuurder_id
14243412,25185957,
14243451,22903493,
14243523,25255014,
14243641,25040199,
14243735,25923181,
14243747,25743163,
14244253,25743163,
14244461,25812700,
14244489,24594505,
14244553,24497009,
14244718,22511976,
14244729,24381257,
14245189,25891769,
14245284,25185957,
14245509,25872668,
14245653,24517358,
14246277,25891769,
14247583,24571708,
14247979,25814986,
14248387,24613385,
14248397,25040199,
14248753,25241070,
14248979,23578206,
14249089,25958266,
14249425,25369629,
14249794,25743444,
14250040,24662696,
14250524,25743444,
14250722,24453223,
14252428,25830002,
14252475,25929160,
14252531,25751839,
14253273,25985058,
14253321,25921217,
14253615,25896329,
14253971,25198210,
14253973,24549182,
14254445,24283114,
14254471,25960384,
14254669,25985058,
14254723,25912255,
14254841,25609932,
14254890,25829993,
14255016,25868264,
14255063,23869170,
14255167,24465856,
14255353,24525125,
14256050,24517358,
14258137,25814986,
14258277,24872865,
14259143,24669956,
14259822,25997497,
14260627,25816123,
14260801,24510437,
14261163,24510437,
14261184,24851600,
14261555,25978007,
14262135,23475885,
14262225,24350852,
14262459,25909102,
14262496,20714793,
14263046,25804856,
14263141,23248186,
14263482,25890160,
14263548,24882957,
14263965,23248186,
14263971,24283114,
14264265,25840823,
14264395,26030272,
14264398,25644558,
14265502,24875631,
14265505,25762089,
14265948,26017548,
14266143,24482942,
14266585,25185957,
14266675,25724274,
14267161,25986625,
14267277,25724274,
14267567,25227513,
14267706,26029901,
14268337,22537190,
14268450,26015577,
14268466,25962992,
14268473,25990251,
14268834,25727515,
14268858,25185957,
14269029,25812700,
14269077,24667763,
14269582,25930404,
14270035,25962992,
14270197,25914345,
14270257,25971900,
14271037,25797877,
14271185,25797877,
14271326,25993615,
14271935,24880497,
14272149,24541457,
14272613,24431642,
14272865,25840823,
14272983,25892471,
14273095,25197532,
14273319,25904344,
14273464,25907924,
14273616,26011756,
14273776,25979997,
14273861,25907924,
14273943,25828249,
14273955,24549182,
14274821,25766465,
14275299,24571724,
14275315,25917122,
14275373,25289557,
14275717,25797877,
14276357,25917118,
14276458,25767626,
14277321,24765008,
14277657,24868851,
14277659,25828246,
14278403,24724871,
14279131,25909738,
14279774,26017548,
14280053,26021197,
14280543,25917122,
14280937,24517192,
14281136,26019811,
14281401,24396256,
14281853,25979719,
14282285,25882382,
14282455,24453223,
14282469,25917118,
14282691,26020918,
14283257,25491106,
14283501,24739000,
14283755,26070570,
14284241,23475885,
14284243,23886744,
14284349,25899399,
14284637,25797877,
14284894,24685394,
14285291,24283114,
14285552,25906069,
14286231,25964422,
14286593,24719585,
14287087,24531250,
14287799,25216317,
14288085,25826776,
14288764,25884166,
14288931,25912255,
14289121,25898234,
14289425,25216317,
14289605,26072414,
14289678,26085356,
14289976,26065228,
14290205,26098941,
14290226,25906069,
14290743,26043002,
14290865,21670640,
14291297,25848896,
14291391,26009203,
14291484,24851436,
14292018,24453223,
14292531,25956893,
14292582,26062331,
14293158,26074357,
14293533,26030272,
14293537,26043002,
14293539,26022525,
14293626,26040517,
14293642,24758628,
14293829,26029963,
14293872,26031028,
14293897,23335477,
14293913,25911315,
14294221,26045629,
14294371,25911315,
14294465,26029963,
14294476,25909738,
14294891,24882957,
14295132,25914345,
14295139,26022525,
14295231,26017808,
14295481,25828228,
14295703,26093224,
14295801,25882382,
14295829,25964319,
14295891,25845408,
14296121,25999983,
14296239,26091486,
14319412,25230996,
14319746,25684971,
14320171,26021373,
14320253,26021373,
14320683,25906712,
14320691,25917277,
14321692,24408035,
14321947,26087411,
14333930,25917118,
14333945,26097369,
14334011,26105862,
14334013,26105862,
14334015,26097369,
14334206,26150793,
14334215,24349313,
14334513,24540704,
14335081,25291834,
14335260,25260876,
14234995,25870655,58188841
9526394,20745875,58188937
14198596,21726943,58188937
14241803,24477385,58188937
10337511,20894881,58413382
6710405,21158845,62063708
6523734,20714797,62063717
8354424,22311059,63265238
13530209,22592364,64111318
14279879,25197532,64111318
9123930,20784854,66513461
10006022,22511163,68616630
8610779,22592364,68622200
10504092,22350207,69443286
10198577,21661934,70485647
11049955,22661663,75429301
13108467,20714589,76734390
13454548,24229854,76747758
13120251,22372503,77583132
13058971,20714409,77584639
11318587,21726943,77692134
14226872,24229854,77741309
14256796,24229854,77741309
13485206,23918856,78190700
13632432,23885115,78201965
13464675,24261411,78279890
13352675,22665285,78388043
13542533,23886744,78676760
13597445,23541228,78793170
13653687,23767470,78811830
13318407,22592364,78818996
13659753,22586529,78823386
13668729,24381263,79208892
14236738,25610340,79686682
14192539,24752984,79878976
13796395,20714457,79911333
13674759,22552799,80097512
14246955,25185957,80175312
14244251,25960382,80205525
13662927,24510437,80296294
14266132,20715029,80344305
