risico_id,kleur,eigendomstype,aantal_staanplaatsen,btw_vrijstelling,nummerplaattype,specialenummerplaat,inschrijvingsdatum,schrappingsdatum,terra,maxtoegelaten,maxtoegelatentrein,vloot,erkend_antidiefstal,antidiefstal1,antidiefstal2,antidiefstal3,automatic_emergency_braking,adaptive_cruise_control,lane_support,blind_spot_check,attention_assist,ecall,automatic_parking,parking_aid,km_per_jaar,co2_emissie
20714785,,2,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714789,,,3,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714793,,,3,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714797,,,3,51,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714801,,,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714805,,,3,51,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714809,,,3,51,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714813,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714817,,,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714821,,1,2,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714825,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714829,,1,2,0,,NM,0000-00-00,0000-00-00,0,26000,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714833,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714837,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714841,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714845,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
