contract_id,maatschappij_id,maatschappij,afloopdatum,overgenomen,polisnummer,commentaar,ondernomen,bevestigd,mandaat
33685885,,,0000-00-00,0,,,,0,0
33685897,,,0000-00-00,0,,,,0,0
33685905,,,0000-00-00,0,,,,0,0
33685909,,,0000-00-00,0,,,,0,0
33685925,,,0000-00-00,0,,,,0,0
33685929,,,0000-00-00,0,,,,0,0
33685937,,,0000-00-00,0,,,,0,0
33685941,,,0000-00-00,0,,,,0,0
33685945,,,0000-00-00,0,,,,0,0
33685949,,,0000-00-00,0,,,,0,0
33685957,,,0000-00-00,0,,,,0,0
33685961,,,0000-00-00,0,,,,0,0
33685965,,,0000-00-00,0,,,,0,0
33685973,,,0000-00-00,0,,,,0,0
33685981,,,0000-00-00,0,,,,0,0
33685989,,,0000-00-00,0,,,,0,0
33685993,,,0000-00-00,0,,,,0,0
33685997,,,0000-00-00,0,,,,0,0
33686005,,,0000-00-00,0,,,,0,0
33686009,,,0000-00-00,0,,,,0,0
33686013,,,0000-00-00,0,,,,0,0
33686021,,,0000-00-00,0,,,,0,0
33686025,,,0000-00-00,0,,,,0,0
33686029,,,0000-00-00,0,,,,0,0
33686037,,,0000-00-00,0,,,,0,0
33686041,,,0000-00-00,0,,,,0,0
33686045,,,0000-00-00,0,,,,0,0
33686049,,,0000-00-00,0,,,,0,0
33686053,,,0000-00-00,0,,,,0,0
33686057,,,0000-00-00,0,,,,0,0
33686065,,,0000-00-00,0,,,,0,0
33686069,,,0000-00-00,0,,,,0,0
33686073,,,0000-00-00,0,,,,0,0
33686089,,,0000-00-00,0,,,,0,0
33686093,,,0000-00-00,0,,,,0,0
33686101,,,0000-00-00,0,,,,0,0
33686105,,,0000-00-00,0,,,,0,0
33686109,,,0000-00-00,0,,,,0,0
33686113,,,0000-00-00,0,,,,0,0
33686117,,,0000-00-00,0,,,,0,0
33686121,,,0000-00-00,0,,,,0,0
33686125,,,0000-00-00,0,,,,0,0
33686133,,,0000-00-00,0,,,,0,0
33686137,,,0000-00-00,0,,,,0,0
33686141,,,0000-00-00,0,,,,0,0
33686145,,,0000-00-00,0,,,,0,0
33686153,,,0000-00-00,0,,,,0,0
33686157,,,0000-00-00,0,,,,0,0
33686161,,,0000-00-00,0,,,,0,0
33686165,,,0000-00-00,0,,,,0,0
33686169,,,0000-00-00,0,,,,0,0
33686173,,,0000-00-00,0,,,,0,0
33686177,,,0000-00-00,0,,,,0,0
33686185,,,0000-00-00,0,,,,0,0
33686189,,,0000-00-00,0,,,,0,0
33686193,,,0000-00-00,0,,,,0,0
33686197,,,0000-00-00,0,,,,0,0
33686201,,,0000-00-00,0,,,,0,0
33686205,,,0000-00-00,0,,,,0,0
33686213,,,0000-00-00,0,,,,0,0
33686217,,,0000-00-00,0,,,,0,0
33686225,,,0000-00-00,0,,,,0,0
33686229,,,0000-00-00,0,,,,0,0
33686233,,,0000-00-00,0,,,,0,0
33686237,,,0000-00-00,0,,,,0,0
33686241,,,0000-00-00,0,,,,0,0
33686245,,,0000-00-00,0,,,,0,0
33686249,,,0000-00-00,0,,,,0,0
33686253,,,0000-00-00,0,,,,0,0
33686257,,,0000-00-00,0,,,,0,0
33686261,,,0000-00-00,0,,,,0,0
33686265,,,0000-00-00,0,,,,0,0
33686269,,,0000-00-00,0,,,,0,0
33686277,,,0000-00-00,0,,,,0,0
33686281,,,0000-00-00,0,,,,0,0
33686285,,,0000-00-00,0,,,,0,0
33686289,,,0000-00-00,0,,,,0,0
33686293,,,0000-00-00,0,,,,0,0
33686297,,,0000-00-00,0,,,,0,0
33686301,,,0000-00-00,0,,,,0,0
33686305,,,0000-00-00,0,,,,0,0
33686309,,,0000-00-00,0,,,,0,0
33686313,,,0000-00-00,0,,,,0,0
33686317,,,0000-00-00,0,,,,0,0
33686321,,,0000-00-00,0,,,,0,0
33686325,,,0000-00-00,0,,,,0,0
33686329,,,0000-00-00,0,,,,0,0
33686337,,,0000-00-00,0,,,,0,0
33686357,,,0000-00-00,0,,,,0,0
33686361,,,0000-00-00,0,,,,0,0
33686365,,,0000-00-00,1,8B71490,,,0,0
33686369,,,0000-00-00,0,,,,0,0
33686377,,,0000-00-00,0,,,,0,0
33686385,,,0000-00-00,0,,,,0,0
33686389,,,0000-00-00,0,,,,0,0
33686393,,,0000-00-00,0,,,,0,0
33686397,,,0000-00-00,0,,,,0,0
33686405,,,0000-00-00,0,,,,0,0
33686409,,,0000-00-00,0,,,,0,0
33686413,,,0000-00-00,0,,,,0,0
33686421,,,0000-00-00,0,,,,0,0
33686425,,,0000-00-00,0,,,,0,0
33686429,,,0000-00-00,0,,,,0,0
33686437,,,0000-00-00,0,,,,0,0
33686441,,,0000-00-00,0,,,,0,0
33686449,,,0000-00-00,0,,,,0,0
33686453,,,0000-00-00,0,,,,0,0
33686457,,,0000-00-00,0,,,,0,0
33686461,,,0000-00-00,0,,,,0,0
33686465,,,0000-00-00,0,,,,0,0
33686469,,,0000-00-00,0,,,,0,0
33686473,,,0000-00-00,0,,,,0,0
33686477,,,0000-00-00,0,,,,0,0
33686481,,,0000-00-00,0,,,,0,0
33686485,,,0000-00-00,0,,,,0,0
33686489,,,0000-00-00,0,,,,0,0
33686493,,,0000-00-00,0,,,,0,0
33686497,,,0000-00-00,0,,,,0,0
33686501,,,0000-00-00,0,,,,0,0
33686509,,,0000-00-00,0,,,,0,0
