bet_id,soort_vergoeding,waarde,max_periode
132842363,,0,0
132842417,,0,0
132847197,,0,0
132860823,,0,0
132861822,,0,0
132871160,,0,0
132874904,,0,0
132891524,,0,0
132899996,,0,0
132974720,,0,0
132996582,,0,0
133000214,,0,0
133000802,,0,0
133002860,,0,0
133098356,,0,0
133151649,,0,0
133161167,,0,0
133162017,,0,0
133169799,,0,0
133170477,,0,0
133263429,,0,0
133390349,,0,0
133390352,,0,0
133407818,,0,0
133526964,,0,0
133526967,,0,0
133527087,,0,0
133544145,,0,0
133544547,,0,0
133618079,,0,0
133643964,,0,0
133644765,,0,0
133647224,,0,0
133734044,,0,0
133736873,,0,0
133744751,,0,0
133781511,,0,0
133781547,,0,0
133782921,,0,0
133859883,,0,0
133875492,,0,0
133904879,,0,0
133926500,,0,0
133984773,,0,0
133999401,,0,0
133999476,,0,0
133999815,,0,0
134002434,,0,0
134014811,,0,0
134042028,,0,0
134178698,,0,0
134315662,,0,0
134324398,,0,0
134331871,,0,0
134342036,,0,0
134411674,,0,0
134413672,,0,0
134461189,,0,0
134509754,,0,0
134510089,,0,0
134559601,,0,0
134562070,,0,0
134574457,,0,0
134575415,,0,0
134707024,,0,0
134728003,,0,0
134730553,,0,0
134730820,,0,0
134730823,,0,0
134747485,,0,0
134747729,,0,0
134765119,,0,0
134833043,,0,0
134833657,,0,0
134834825,,0,0
134854553,,0,0
134873237,,0,0
134875376,,0,0
134893928,,0,0
134896949,,0,0
134897639,,0,0
134900006,,0,0
134919569,,0,0
134920534,,0,0
134923547,,0,0
135001250,,0,0
135002294,,0,0
135002651,,0,0
135050428,,0,0
135074389,,0,0
135074768,,0,0
135077225,,0,0
135077231,,0,0
135077237,,0,0
135140768,,0,0
135164087,,0,0
135167149,,0,0
135183922,,0,0
135257434,,0,0
135353689,,0,0
135612487,,0,0
135636607,,0,0
135636655,,0,0
135803329,,0,0
135947681,,0,0
135967142,,0,0
136254277,,0,0
136291582,,0,0
136347677,,0,0
136380464,,0,0
136398250,,0,0
136481737,,0,0
136500220,,0,0
136514458,,0,0
136514530,,0,0
136514588,,0,0
136514621,,0,0
136514624,,0,0
136514627,,0,0
136514636,,0,0
136514657,,0,0
136514675,,0,0
136514693,,0,0
136514696,,0,0
136514705,,0,0
136514713,,0,0
136534054,,0,0
136539715,,0,0
136553767,,0,0
136559441,,0,0
136614319,,0,0
136628305,,0,0
136632601,,0,0
136671944,,0,0
136672675,,0,0
136672678,,0,0
136730200,,0,0
136730203,,0,0
136730326,,0,0
136743859,,0,0
136763561,,0,0
136764496,,0,0
136784951,,0,0
136786570,,0,0
136804423,,0,0
136883968,,0,0
136884616,,0,0
136884640,,0,0
136884649,,0,0
136884689,,0,0
136884695,,0,0
136884698,,0,0
136884788,,0,0
136885135,,0,0
136885144,,0,0
136885546,,0,0
136885552,,0,0
136885597,,0,0
136885669,,0,0
136885996,,0,0
136886005,,0,0
136886203,,0,0
136886218,,0,0
136886236,,0,0
136886465,,0,0
136886470,,0,0
136886533,,0,0
136886599,,0,0
136886677,,0,0
136887181,,0,0
136887523,,0,0
136887535,,0,0
136887733,,0,0
136887952,,0,0
136887961,,0,0
136888231,,0,0
136888774,,0,0
136888838,,0,0
136902274,,0,0
136903237,,0,0
136903303,,0,0
136903423,,0,0
136903585,,0,0
136903645,,0,0
136903819,,0,0
136903828,,0,0
136904018,,0,0
136904135,,0,0
136904153,,0,0
136904359,,0,0
136904368,,0,0
136904383,,0,0
136904392,,0,0
136904395,,0,0
136904699,,0,0
136904704,,0,0
136904722,,0,0
136904728,,0,0
136904737,,0,0
136904743,,0,0
136923535,,0,0
136946959,,0,0
136992511,,0,0
137012639,,0,0
137012911,,0,0
137013037,,0,0
137013070,,0,0
137013172,,0,0
137013479,,0,0
137013500,,0,0
137013566,,0,0
137014427,,0,0
137014546,,0,0
137014678,,0,0
137014691,,0,0
137014706,,0,0
137014727,,0,0
137014759,,0,0
137014954,,0,0
137015266,,0,0
137015344,,0,0
137015362,,0,0
137015422,,0,0
137015443,,0,0
137015510,,0,0
137015701,,0,0
137016157,,0,0
137016469,,0,0
137016739,,0,0
137016796,,0,0
137016805,,0,0
137016946,,0,0
137017015,,0,0
137017064,,0,0
137017079,,0,0
137017102,,0,0
137017123,,0,0
137017183,,0,0
137017232,,0,0
137031080,,0,0
137031149,,0,0
137031236,,0,0
137031314,,0,0
137031331,,0,0
137031814,,0,0
137031862,,0,0
137032006,,0,0
137032229,,0,0
137032660,,0,0
137032741,,0,0
137032777,,0,0
137032882,,0,0
137033375,,0,0
137033485,,0,0
137033593,,0,0
137033701,,0,0
137033849,,0,0
137033942,,0,0
137038058,,0,0
137038060,,0,0
137038102,,0,0
137053774,,0,0
137056754,,0,0
137076791,,0,0
137149084,,0,0
137149138,,0,0
137149270,,0,0
137149330,,0,0
137149546,,0,0
137149624,,0,0
137149705,,0,0
137149723,,0,0
137150044,,0,0
137151161,,0,0
137151182,,0,0
137151200,,0,0
137151209,,0,0
137151628,,0,0
137152066,,0,0
137152141,,0,0
137152150,,0,0
137153267,,0,0
137153284,,0,0
137153413,,0,0
137167984,,0,0
137168429,,0,0
137169841,,0,0
137169853,,0,0
137170030,,0,0
137170090,,0,0
137170271,,0,0
137170364,,0,0
137170453,,0,0
137170465,,0,0
137170483,,0,0
137170588,,0,0
137170594,,0,0
137171369,,0,0
137171408,,0,0
137171453,,0,0
137171656,,0,0
137171719,,0,0
137171734,,0,0
137171740,,0,0
137171752,,0,0
137171764,,0,0
137172215,,0,0
137172226,,0,0
137172238,,0,0
137172244,,0,0
137172256,,0,0
137175688,,0,0
137175691,,0,0
137198546,,0,0
137236360,,0,0
