risico_id,kw,pk,cc,kwh
26152625,,,,
26152630,,,,
26152675,,,,
26152679,,,,
26152681,,,,
26152719,,,,
26152723,,,,
26152727,,,,
26152729,,,,
26152735,,,,
26152753,,,,
26152936,,,,
26152977,,,,
26152981,,,,
26152993,,,,
26152995,0,0,0,0
26152999,,,,
26153051,,,,
26153055,,,,
26153063,,,,
26153067,,,,
26153069,,,,
26153073,,,,
26153079,,,,
26153172,,,,
26153174,,,,
26153182,,,,
26153184,,,,
26153186,,,,
26153192,,,,
26153198,,,,
26153204,,,,
26153209,0,0,0,0
26153213,0,0,0,0
26153215,0,0,0,0
26153219,,,,
26153221,0,0,0,0
26153237,,,,
26153283,,,,
26153287,,,,
26153293,,,,
26153350,,,,
26153368,,,,
26153405,,,,
26153413,,,,
26153417,,,,
26153429,,,,
26153431,,,,
26153448,,,,
26153452,,,,
26153454,,,,
26153468,,,,
26153474,,,,
26153490,,,,
26153509,0,0,0,0
26153515,0,0,0,0
26153522,,,,
26153524,,,,
26153532,,,,
26153541,,,,
26153543,,,,
26153585,,,,
26153591,,,,
26153595,,,,
26153629,,,,
26153633,,,,
26153637,,,,
26153643,,,,
26153669,,,,
26153671,,,,
26153673,,,,
26153675,,,,
26153681,,,,
26153683,,,,
26153689,,,,
26153693,,,,
26153702,,,,
26153703,,,,
26153705,,,,
26153711,,,,
26153712,,,,
26153722,,,,
26153723,,,,
26153725,0,0,0,0
26167315,,,,
26167559,,,,
26168506,,,,
26168510,0,0,0,0
26168514,,,,
26168660,,,,
26168676,,,,
26168765,,,,
26168791,,,,
26168803,,,,
26168817,,,,
26168825,,,,
26168831,,,,
26168833,,,,
26168841,,,,
26168919,,,,
26168972,,,,
26168974,,,,
26169001,,,,
26169005,,,,
26169007,,,,
26169047,,,,
26169067,,,,
26169068,,,,
26169070,,,,
26169105,,,,
26169131,0,0,0,0
26169135,,,,
26169150,,,,
26169152,,,,
26169173,,,,
26169193,,,,
26169195,,,,
26169197,,,,
26169203,,,,
26169205,,,,
26169209,,,,
26169219,,,,
26169245,,,,
26169471,59,,,
26170000,,,,
26170797,,,,
26171148,110,,1995,
26171378,,,,
26171395,,,,
26171459,,,,
26171473,,,,
26171494,,,,
26171555,,,,
26171571,,,,
26171575,,,,
26171577,,,,
26171579,,,,
26171581,,,,
26171583,,,,
26171585,,,,
26171587,,,,
26171589,,,,
26171591,,,,
26171593,,,,
26171595,,,,
26171597,,,,
26171599,,,,
26171601,,,,
26171605,,,,
26171612,,,,
26171614,,,,
26171661,,,,
26171673,,,,
26171681,,,,
26171685,,,,
26171695,,,,
26171697,,,,
26171699,,,,
26171703,,,,
26171705,,,,
26171707,,,,
26171742,,,,
26171778,,,,
26171787,,,,
26171801,,,,
26171805,,,,
26171807,,,,
26171825,,,,
26171851,,,,
26171853,,,,
26171859,,,,
26171893,,,,
26171911,,,,
26171917,,,,
26171927,,,,
26171967,,,,
26171971,,,,
26172096,,,,
26172125,,,,
26172143,,,,
26172147,,,,
26172149,,,,
26172155,,,,
26172165,,,,
26172167,,,,
26172169,0,0,0,0
26172173,,,,
26172175,,,,
26172177,,,,
26172179,,,,
26172183,,,,
26172185,,,,
26172187,,,,
26172188,,,,
26172189,,,,
26172191,,,,
26172193,,,,
26172195,,,,
26172197,,,,
26172198,,,,
26172199,,,,
26172201,,,,
26172203,,,,
26172205,,,,
26172207,,,,
26172209,,,,
26172222,,,,
26172228,,,,
26172234,,,,
26172236,,,,
26172238,,,,
26172244,,,,
26172246,,,,
26172287,,,,
26172303,,,,
26172305,0,0,0,0
26172307,,,,
26172323,,,,
26172351,,,,
26172363,,,,
26172375,,,,
26172377,,,,
26172379,,,,
26172381,,,,
26172383,,,,
26172817,0,0,0,0
26172905,,,,
26172919,,,,
26172963,,,,
26172985,,,,
26173001,,,,
26173029,,,,
26173109,,,,
26173135,,,,
26173137,,,,
26173139,,,,
26173141,,,,
26173145,,,,
26173148,,,,
26173167,,,,
26173184,,,,
26173204,,,,
26173209,,,,
26173211,,,,
26173229,,,,
26173240,,,,
26173268,,,,
26173270,,,,
26173279,,,,
26173305,,,,
26173341,,,,
26173343,,,,
26173374,,,,
26173378,,,,
26173382,,,,
26173388,,,,
26173411,,,,
26173415,,,,
26173417,,,,
26173419,,,,
26173421,,,,
26173423,,,,
26173425,,,,
26173429,,,,
26173431,,,,
26173433,,,,
26173435,,,,
26173441,,,,
26173443,,,,
26173445,,,,
26173449,,,,
26173495,,,,
26173504,,,,
26173520,,,,
26173529,,,,
26173550,,,,
26173583,,,,
26173637,,,,
26173661,,,,
26173680,,,,
26173684,,,,
26173686,,,,
26173688,,,,
26173690,,,,
26173693,,,,
26173695,,,,
26173717,,,,
26173721,,,,
26173727,,,,
26173731,,,,
26173733,,,,
26173745,,,,
26173753,,,,
26173758,,,,
26173762,,,,
26173764,,,,
26173768,,,,
26173771,,,,
26173777,,,,
26173785,,,,
26173789,,,,
26173793,,,,
26173795,,,,
26173805,,,,
26173813,,,,
26173819,0,0,0,0
26173827,,,,
26173828,,,,
26173835,,,,
26173838,,,,
26173859,,,,
26173861,,,,
26174052,,,,
26174057,,,,
26174058,,,,
26174060,,,,
26174071,,,,
26174081,0,0,0,0
26174087,,,,
26174091,,,,
26174101,,,,
26174103,,,,
26174151,,,,
26174159,,,,
26174173,,,,
26174179,,,,
26174183,,,,
26174185,,,,
26174197,0,0,0,0
26174203,,,,
26174205,,,,
26174207,,,,
26174225,,,,
26174251,,,,
26174269,,,,
26174273,,,,
26174275,,,,
26174284,,,,
26174302,0,0,0,0
26174304,,,,
26174307,,,,
26174319,,,,
26174321,,,,
26174333,,,,
26174351,,,,
26174355,,,,
26174359,,,,
26174361,,,,
26174365,,,,
26174377,,,,
26174385,,,,
26174395,,,,
26174413,,,,
26174463,,,,
26174495,72,,,
26175077,,,,
26175103,,,,
