ft_id,fn_id,bet_id,contract_id,schade_id,nummer,datumtijd,plaintext,dropdown
9707104,10424,137017183,,,2021,,,
9707116,10424,126021436,,,2022,,,
9707158,10424,137017232,,,2019,,,
9707188,10424,126005465,,,2022,,,
9707203,10424,126178304,,,2024,,,
9707255,10424,126005013,,,2023,,,
9707279,10424,128689247,,,2024,,,
9707303,10424,137843333,,,,,,
9707315,10424,126005665,,,2017,,,
9707327,10424,137031080,,,2020,,,
9707339,10424,137031149,,,2024,,,
9707351,10424,137031236,,,2024,,,
9707363,10424,129980619,,,2024,,,
9707375,10424,137031814,,,2024,,,
9707390,10424,130991534,,,2019,,,
9707411,10424,134192680,,,2020,,,
9707705,10424,133098356,,,2024,,,
9707717,10424,126005781,,,2022,,,
9707738,10424,137031314,,,2024,,,
9707762,10424,126196417,,,2023,,,
9707774,10424,126193189,,,2024,,,
9707786,10424,126220028,,,2021,,,
9707798,10424,126005693,,,2024,,,
9707932,10424,126044938,,,,,,
9708085,10424,126005449,,,,,,
9708932,10424,137847428,,,,,,
9709634,10424,126129619,,,2024,,,
9709646,10424,126004993,,,2024,,,
9709658,10424,126005745,,,2024,,,
9709712,10424,126291640,,,2022,,,
9709724,10424,126005517,,,2023,,,
9709736,10424,126019248,,,2021,,,
9709760,10424,126004653,,,,,,
9710048,10424,137857324,,,,,,
9710101,10424,137012648,,,,,,
9711980,10424,137870930,,,,,,
9713563,10424,137885554,,,,,,
9713587,10424,137885629,,,,,,
9715865,10424,126223908,,,,,,
9716114,10424,126016199,,,,,,
9716495,10424,128679387,,,,,,
9716511,10424,126004965,,,,,,
9716519,10424,129240887,,,,,,
9716931,10424,137032006,,,2024,,,
9716943,10424,126129676,,,2024,,,
9716951,10424,137032229,,,2023,,,
9716959,10424,126129839,,,2018,,,
9716977,10424,126005913,,,2024,,,
9716985,10424,137032660,,,2024,,,
9716993,10424,137032741,,,,,,
9717001,10424,137032777,,,2023,,,
9717009,10424,134833043,,,,,,
9717035,10424,126005533,,,2024,,,
9717043,10424,126717507,,,2024,,,
9717053,10424,137150044,,,2024,,,
9717067,10424,126005645,,,,,,
9717075,10424,137151182,,,2024,,,
9717083,10424,137170090,,,2021,,,
9717095,10424,126005885,,,2024,,,
9717103,10424,137151200,,,2024,,,
9717119,10424,137031194,,,,,,
9717127,10424,129811398,,,,,,
9717135,10424,126004537,,,2024,,,
9717143,10424,137151209,,,2024,,,
9717157,10424,126004565,,,2024,,,
9717169,10424,134873237,,,,,,
9717179,10424,137151628,,,2024,,,
9717195,10424,137152066,,,2024,,,
9717203,10424,137936945,,,,,,
9717211,10424,137352728,,,2020,,,
9717259,10424,134897642,,,2022,,,
