rst_id,rekeninguittreksel_id,kwijting_id,status,user_id,datum
8572930,88701958,109657279,1,,"2022-09-19 16:05:19"
8572933,88701961,109657279,1,,"2022-09-19 16:05:19"
8572936,88701964,109657279,1,,"2022-09-19 16:05:19"
8572939,88701967,107552686,1,,"2022-09-19 16:05:19"
8572942,88701970,107747192,1,,"2022-09-19 16:05:20"
8572945,88701973,107747192,1,,"2022-09-19 16:05:20"
8642001,89069026,110164300,1,,"2022-11-16 15:18:04"
8642004,89069029,110164300,1,,"2022-11-16 15:18:04"
8642007,89069032,110164300,1,,"2022-11-16 15:18:04"
8642010,89069035,110164300,1,,"2022-11-16 15:18:04"
8655904,89161958,109966127,1,,"2022-12-08 10:02:34"
8655907,89161961,110164303,1,,"2022-12-08 10:02:34"
8655910,89161964,110164303,1,,"2022-12-08 10:02:34"
8655913,89161967,110164303,1,,"2022-12-08 10:02:34"
8655916,89161970,110164303,1,,"2022-12-08 10:02:34"
8739436,89313286,109966130,1,,"2023-01-11 13:12:18"
8739439,89313289,109966130,1,,"2023-01-11 13:12:19"
8739442,89313292,109966130,1,,"2023-01-11 13:12:19"
8739445,89313295,109966130,1,,"2023-01-11 13:12:19"
8863033,89504225,111593395,1,,"2023-02-11 12:11:18"
8863036,89504228,111593395,1,,"2023-02-11 12:11:18"
8863039,89504231,110884621,1,,"2023-02-11 12:11:18"
8863042,89504234,110611144,1,,"2023-02-11 12:11:18"
8863045,89504237,111596695,1,,"2023-02-11 12:11:18"
8863048,89504240,111596695,1,,"2023-02-11 12:11:18"
8863051,89504243,111596695,1,,"2023-02-11 12:11:18"
8863054,89504246,111596695,1,,"2023-02-11 12:11:18"
8907354,89816530,111596698,1,,"2023-04-10 10:46:49"
8939955,89985704,112482899,1,,"2023-05-15 18:09:34"
8958252,90085256,112754484,1,,"2023-06-12 09:17:34"
8958255,90085259,112594687,1,,"2023-06-12 09:17:34"
9001732,90590146,113419024,1,,"2023-08-17 13:34:49"
9001735,90590149,113419024,1,,"2023-08-17 13:34:49"
9001738,90590152,112949124,1,,"2023-08-17 13:34:49"
9001741,90590155,112949124,1,,"2023-08-17 13:34:49"
9001744,90590158,112949124,1,,"2023-08-17 13:34:49"
9001747,90590161,112949124,1,,"2023-08-17 13:34:49"
9024903,90690760,113774671,1,,"2023-09-11 14:28:20"
9024906,90690763,113774674,1,,"2023-09-11 14:28:20"
9024909,90690766,113774677,1,,"2023-09-11 14:28:20"
9024912,90690769,113419029,1,,"2023-09-11 14:28:20"
9024915,90690772,113419029,1,,"2023-09-11 14:28:20"
9024918,90690775,113419029,1,,"2023-09-11 14:28:20"
9024921,90690778,113419029,1,,"2023-09-11 14:28:20"
9073018,90974568,114230104,1,,"2023-11-13 14:44:19"
9073021,90974571,113973652,1,,"2023-11-13 14:44:19"
9073024,90974574,113973652,1,,"2023-11-13 14:44:19"
9073027,90974577,113973652,1,,"2023-11-13 14:44:19"
9073030,90974580,113973652,1,,"2023-11-13 14:44:19"
9073033,90974583,113973652,1,,"2023-11-13 14:44:19"
9106768,91210625,114679465,1,,"2024-01-10 12:37:20"
9106771,91210628,114679465,1,,"2024-01-10 12:37:20"
9106774,91210631,114679465,1,,"2024-01-10 12:37:20"
9106777,91210634,114679465,1,,"2024-01-10 12:37:20"
9142607,91355180,114679462,1,,"2024-02-10 14:41:05"
9142610,91355183,114679462,1,,"2024-02-10 14:41:05"
9142613,91355186,114679462,1,,"2024-02-10 14:41:05"
9142616,91355189,114679462,1,,"2024-02-10 14:41:05"
9142619,91355192,114865050,1,,"2024-02-10 14:41:05"
9142622,91355195,114865050,1,,"2024-02-10 14:41:05"
9228970,91500693,114930254,1,,"2024-03-09 16:41:20"
9228973,91500696,114930254,1,,"2024-03-09 16:41:20"
9228976,91500699,114930254,1,,"2024-03-09 16:41:20"
9228979,91500702,114930254,1,,"2024-03-09 16:41:20"
9228982,91500705,114930254,1,,"2024-03-09 16:41:20"
9228985,91500708,114930254,1,,"2024-03-09 16:41:20"
9228988,91500711,114930254,1,,"2024-03-09 16:41:20"
9228991,91500714,114930254,1,,"2024-03-09 16:41:20"
9230348,91513122,114615188,1,,"2024-03-12 09:30:04"
9230351,91513125,114852482,1,,"2024-03-12 09:30:04"
9259762,93270066,115071233,1,,"2024-04-16 16:38:34"
9263429,93325272,115306016,1,,"2024-05-07 14:04:49"
9273427,93367095,115389721,1,,"2024-05-13 12:28:20"
9273430,93367098,115389721,1,,"2024-05-13 12:28:20"
9273433,93367101,115389721,1,,"2024-05-13 12:28:20"
9273436,93367104,115389721,1,,"2024-05-13 12:28:20"
9327682,93465717,117819752,1,,"2024-06-10 19:20:50"
9327685,93465720,117819752,1,,"2024-06-10 19:20:50"
9327688,93465723,117819752,1,,"2024-06-10 19:20:50"
9327691,93465726,117819752,1,,"2024-06-10 19:20:50"
9327694,93465729,117819752,1,,"2024-06-10 19:20:50"
9358945,93691149,118140743,1,,"2024-08-05 16:59:04"
9358948,93691152,118140746,1,,"2024-08-05 16:59:04"
9358951,93691155,118140749,1,,"2024-08-05 16:59:04"
9358954,93691158,118140752,1,,"2024-08-05 16:59:04"
9364276,93724860,118046157,1,,"2024-08-12 13:34:19"
9364279,93724863,118046157,1,,"2024-08-12 13:34:19"
9364282,93724866,118046157,1,,"2024-08-12 13:34:19"
9364285,93724869,118046157,1,,"2024-08-12 13:34:19"
9414739,93945816,118498245,1,,"2024-10-11 12:21:50"
9414742,93945819,118504366,1,,"2024-10-11 12:21:50"
9414745,93945822,118504369,1,,"2024-10-11 12:21:50"
9414748,93945825,118504369,1,,"2024-10-11 12:21:50"
9414751,93945828,118504369,1,,"2024-10-11 12:21:50"
9414754,93945831,118504369,1,,"2024-10-11 12:21:50"
9414757,93945834,118707889,1,,"2024-10-11 12:21:50"
