schadecontract_id,schade_id,contract_id,risico_id,blockretours_id,contract_bijvoegsel_id
6515506,107041420,33685881,,52215377,
6519560,107045396,33684969,,52184307,
8352390,107045396,33684965,,52184777,
8653841,107045554,33685881,,52215377,
6521735,107047538,34024177,,,
6522652,107048290,33763977,,52184684,
6523734,107049246,33686117,,52184535,
6525713,107051165,33686425,,52213790,
6525716,107051168,33686497,,52052172,
6525717,107051169,33763977,,52184684,
6529283,107054732,33685289,,,
6529285,107054734,33685465,,,
6531613,107057056,33685749,,,
6580330,107106058,33685269,,,
6581269,107107096,33686121,,52184478,
6587014,107112901,33688356,,,
6587663,107113592,33685269,,,
6595028,107117956,33762224,,52184484,
6690287,107118198,33908635,,53257323,
6685774,107193889,33824062,,53424617,
6685777,107193892,33821889,,,
6689496,107197740,33889096,,,
6689518,107197768,33685577,,52184397,
6691550,107199833,34034305,,,
6710405,107218790,34180558,,,
6712109,107220536,34187908,,,
6712113,107220540,34024177,,,
6741918,107250381,33686509,,,
6760667,107269253,33848975,,,
6760917,107269389,34594694,,,
6849189,107357901,34592822,,,
6866846,107375540,34213475,,,
6875307,107384100,33685617,,52184472,
6974075,107417646,34595574,,,
6987092,107457617,33686009,,,
7842768,107692487,34034305,,54387881,
7299701,107728094,33686545,,,
7676505,108018879,34248523,,,
7842759,108034371,33925582,,,
7700399,108034931,34031558,,,
10086477,108050076,33686161,,52215164,
7842945,108050766,33685345,,52213748,
7725345,108051036,33685929,,,
7751450,108068330,33764030,,,
7840716,108121410,33685785,,,
7842628,108123181,33687159,,51512245,
7842747,108123300,33685009,,52213797,
7842750,108123303,33685589,,52184447,
7842846,108123423,33684877,,52184526,
7842875,108123446,33686337,,,
7842884,108123455,33685937,,52939464,
7912998,108193008,33764033,,54889077,
7913480,108193340,33686357,,,
7919874,108193362,34248525,,,
7948947,108217143,33686161,,,
7966326,108225897,33685793,,,
7974984,108226239,33764013,,,
7975854,108226893,33685737,,,
7997055,108226893,33685733,,52184672,
7976051,108227078,35477877,,,
7987194,108234747,33762224,,,
8000199,108243585,33686481,,,
8064858,108305523,33684817,,,
8175812,108416450,34026145,,,
8201976,108442485,33686161,,,
8272065,108512628,33685761,,52184708,
8292072,108532464,33925481,,,
8302385,108542630,34187908,,,
8302467,108542703,33686161,,,
8353245,108593319,33686161,,,
8353299,108593376,34187908,,,
8353719,108593808,33909671,,,
8354053,108594136,33685929,,52213796,
8354424,108594543,34593501,,,
8354736,108594867,34248523,,,
8355108,108595236,34560845,,55057595,
8355326,108595454,34593501,,56537353,
8360174,108597681,33685909,,52243715,
8360666,108600827,33942841,,,
8361602,108601844,33685793,,52184487,
8361926,108602192,35834841,,,
8427435,108667704,33686425,,54816564,
8451066,108691353,35800320,,,
10839085,108712614,33686161,,52215164,
8474592,108715017,34034305,,,
8474609,108715031,33686537,,,
8510273,108750644,35592362,,,
8532615,108772971,34248525,,,
8533167,108773532,35819076,,,
8537514,108777870,33892469,,,
8603511,108843738,35913663,,,
8610779,108851024,35935362,,,
8627832,108868065,33685097,,,
8653755,108893985,35819076,,,
8690859,108930993,34601597,,,
8691045,108931191,34601597,,,
8699193,108939333,33798854,,,
8753859,108993975,35861628,,,
8755229,108995007,34673327,,,
8755275,108995055,33755319,,,
8766266,109002338,34588182,,55336811,
8766534,109002567,33685785,,,
8816360,109042355,33685957,,,
8839482,109065432,34213478,,,
8886530,109112327,35598395,,,
9016557,109241748,33685845,,,
9123930,109348890,33776430,,,
9158718,109383669,33686509,,,
9162171,109387131,35832384,,,
9170531,109395428,33803993,,,
9253067,109477355,35479533,,57558578,
9268133,109492160,33684889,,,
9364844,109588385,33684889,,55128862,
9397049,109620596,35800320,,,
9398102,109621607,33685221,,,
9398277,109621836,34601597,,,
9463388,109686698,34378223,,,
9479903,109688829,35620505,,,
9481685,109705046,33829841,,,
9507743,109731074,33684909,,52401318,
9526394,109749539,33716067,,,
9527744,109750925,34248523,,60190954,
9527840,109751012,33966805,,,
9530340,109753148,33686161,,,
9540221,109763468,35616993,,,
9562430,109785530,34588182,,,
9586802,109809443,35635227,,,
9613328,109835891,36127280,,61124715,
9688833,109911408,34673327,,58379086,
9836057,109953366,34036946,,,
9764642,109987001,34931679,,,
9873402,110095761,33685657,,,
9955178,110177456,35960351,,,
10005777,110228175,35933265,,,
10005780,110228178,35680020,,61280562,
10006022,110228444,33770554,,,
10006187,110228603,36139479,,,
10006595,110229044,35844813,,,
10007981,110230544,36027858,,,
10008572,110231141,36004869,,,
10008819,110231418,36063002,,,
10017708,110240283,34034308,,,
10082288,110307758,35982320,,,
10085129,110310542,35982792,,,
10086320,110311736,36293690,,,
10135398,110360652,35616993,,,
10151444,110376695,33686365,,,
10153070,110378285,36298490,,,
10198577,110424092,34588179,,,
10212852,110438400,35480538,,,
10234995,110460537,34034305,,,
10235379,110460921,33889099,,,
10337127,110563101,33685685,,,
10337511,110563494,33846187,,,
10383053,110609036,36465941,,,
10383164,110609147,36466046,,,
10504086,110729838,35478102,,,
10504092,110729844,33685057,,,
10507809,110733558,34670353,,,
10559360,110770418,33686257,,,
10677135,110786495,33686481,,52184438,
10576374,110787447,33686161,,,
10613844,110824929,35482539,,58379293,
10630607,110841551,34213475,,,
10632309,110843118,33776430,,,
10638321,110849109,33764007,,,
10638500,110849300,33686161,,,
10677327,110874387,34592822,,,
10677686,110888330,36061812,,,
10707150,110888330,36061809,,60536931,
10706981,110917556,33686413,,58383071,
10707147,110917722,36061809,,60536931,
10707339,110917917,33763986,,,
10719228,110929734,36081903,,,
10720158,110930700,36512403,,,
10720436,110930975,33764010,,,
10720689,110931303,33686517,,,
10757756,110968144,36042080,,,
10827553,111040492,34560845,,,
10827586,111040528,34024177,,,
10847956,111060697,34581629,,,
10847987,111060728,33685061,,,
10859341,111072127,33849002,,,
10894441,111107158,33849002,,,
10894630,111107395,35910362,,,
10903612,111116497,36042080,,,
10905112,111117790,36147917,,,
10912351,111125020,35480531,,,
10962434,111166664,35927907,,63531659,
10995283,111193600,36069608,,,
11008861,111205486,36462953,,,
11024056,111218227,33685357,,52213766,
11024827,111218950,36196745,,,
11049955,111239836,36029904,,60316136,
11050070,111239936,36462953,,,
11050345,111240184,33763986,,,
11078893,111264289,33684721,,,
11079574,111264799,33829841,,,
11089207,111271696,33685057,,57552899,
11148037,111313960,34668087,,,
11155958,111319904,33684909,,,
11157043,111320751,33849002,,,
11157049,111320755,35467308,,,
11207408,111358649,35467308,,56953954,
11216360,111365357,33686233,,,
11217845,111366572,33684749,,,
11254259,111395216,36042080,,60444087,
11307274,111444040,35616993,,,
11397911,111445742,33686517,,54429228,
11318587,111455221,33686049,,,
11320174,111456811,33764046,,,
11331062,111467711,33686161,,,
11366693,111503075,36197021,,,
11367530,111503924,33889096,,,
11380071,111516381,33764046,,52184334,
11388736,111524203,33710120,,,
11412100,111544927,35962146,,,
11412193,111545017,35962146,,,
11448487,111577639,35636990,,,
11481620,111606881,33685057,,,
11492536,111616717,36298490,,62609075,
11493808,111617827,35478102,,,
11536408,111655687,33686413,,58383071,
11590573,111704851,34773294,,,
11672140,111778021,33847923,,,
11699138,111803543,34773294,,57223963,
11747788,111852217,36099834,,,
11747951,111852362,36147917,,,
11758228,111862738,36078588,,,
11841733,111944839,36494381,,,
11841740,111944846,34152341,,,
11841937,111945085,36713978,,64026416,
11880322,111983377,35982680,,,
11882179,111984880,35829426,,,
11882185,111984886,36512019,,,
11882644,111985363,36697016,,,
11903859,111994928,34588136,,,
11901572,112004099,35853378,,,
11956589,112058897,33776430,,,
11957182,112059409,33798686,,,
11957233,112059463,34180444,,56718490,
11988550,112090705,36197021,,,
12025153,112127404,34588136,,,
12045242,112147442,33684721,,,
12046726,112148863,36190592,,,
12068578,112170649,35832250,,,
12101165,112203188,36482577,,,
12102436,112204369,35876415,,,
12114029,112214942,36000909,,,
12140899,112239148,36100373,,,
12203344,112292926,36694940,,,
12203456,112293023,36694940,,,
12205912,112295143,35946467,,,
12206020,112295236,33686161,,,
12206017,112295245,33686161,,,
12279700,112361671,33685561,,52184466,
12311033,112390769,36485274,,,
12314084,112393643,33686057,,65010149,
12326795,112405151,36298490,,62609075,
12329779,112407913,35636990,,,
12411757,112485295,36892123,,,
12443021,112515122,33766747,,,
12511172,112578512,36715058,,,
12512233,112579489,33763986,,,
12528664,112594972,33769996,,,
12562028,112626476,36065360,,,
12569032,112633189,33776430,,,
12596476,112658740,36728379,,,
12598522,112660675,35968385,,,
12628306,112688485,35910362,,,
12628309,112688488,36666166,,,
12639517,112698958,35982326,,64189011,
13172864,112698958,35982320,,62668826,
12683044,112739239,36510281,,,
12683047,112739239,36510275,,,
12684727,112740913,33803993,,61308412,
12707599,112763698,36897229,,,
12760621,112816756,36069417,,,
12773288,112829411,35851265,,62528344,
12788197,112844260,36721111,,,
