contract_id,leningstype,ontleend_bedrag,terugbetalingstype,duur_overeenkomst,formule,intrestvoet,intrestvoet_periodiciteit,mensualiteit,doel,type_akte,herzieningstype,datum_herziening,initiele_duur_vastheid,overbruggingskrediet,lopende_opname,geleende_quotiteit,referte_index,referte_index_periodiciteit,referte_index_type,periode_vooropname,periode_vooropname_periodiciteit,cap_plus,cap_min,waarborgen
34596051,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34601145,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34601481,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34601484,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34601529,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34601546,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34932870,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35031329,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35590791,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35598402,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35598575,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35603784,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35616341,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35616353,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35620485,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35650454,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35678115,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35739428,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35811935,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35811938,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35829822,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35831534,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35845455,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35895149,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35897961,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35914940,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35918259,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35925785,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35928645,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35928651,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35928669,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35933553,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35949794,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35966997,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35982942,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
35982948,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
36005091,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
36022658,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
36022665,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
36025764,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
36025767,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
36027572,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
