waarborg_id,uitkeringsdatum_kapitaal_leven,datum_waardering_reserve,fiscaliteit_levensverzekeringspremie,fiscaal_regime_vd_prestaties,oorsprong_der_premiebetaling,contract_genereert_winstdeelname,contract_onderhevig_aan_perequatie,onderworpenheid_vd_prestatie,voorschot_op_polis,kapitaal_bij_leven,kapitaal_bij_overlijden,verworven_winstdeelname_bij_leven,verworven_winstdeelname_bij_overlijde,toekenning_winstdeelname_vh_jaar,waarde_vd_reserve,type_std_begunstigde_bij_leven,begunstigde_std_heeft_contractvdl_aanv_bleven,type_std_begunstigde_bij_overlijde,begunstigde_std_heeft_contractvdl_aanv_boverlijde,jaarlijkse_rente_levensv,gewaarborgde_rentevoet_leven,kapitaal
86875415,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
86875418,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
86875421,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
87266206,2046-06-01,0000-00-00,,9,01,0,0,0,0,0.00,601160.97,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
87504447,2040-08-01,0000-00-00,,,01,0,0,0,0,0.00,62000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
88177463,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
88177472,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
88627807,2046-04-01,0000-00-00,,,01,0,0,0,0,0.00,545000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
88627810,2046-04-01,0000-00-00,,,01,0,0,0,0,0.00,545000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
89337855,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,11000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
90805987,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
90805990,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
91612025,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
91612028,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
91612031,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
91615671,2047-04-01,0000-00-00,,,01,0,0,0,0,0.00,545000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
