risico_id,nummerplaat,merk,merkcode,model,modelcode,typevoertuig,gebruik,chassis,pvg,eupvg,adr,bouwjaar,vermogen,vermogen_eenheid,aandrijving,brandstof,aantal_deuren,cabrio,sportwagen,terreinwagen,coupe,financiering,cataloguswaarde,catalogusmetbtw,biv,teverzekeren,toebehoren,isbestuurder,in_rust,bonus_malus,bonus_malus_aangepast,ingebruikstelling,cilinder,zitplaatsen,stalling,modeljaar,febiacid,tweedehands,facturatiewaarde
20714509,1CMT084,FORD,,FIESTA,,,12,WF0JXXGAJJ9E24070,,,,0,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2010-10-26,0,5,0,,,0,
20714513,,JAGUAR,,S-TYPE,,VP,12,SAJAA01N03JM71464,,,,2003,147,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2003-01-20,0,4,0,,,0,
20714521,1SRG046,VOLKSWAGEN,,CADDY,,,12,WV2ZZZ2KZDX085380,,,,0,75,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,2020-06-23,2014-03-03,0,5,0,,,0,
20714525,1SPT711,CITROEN,,DS5,,VP,12,VF7KFBHZMFFS21989,,,,2015,85,1,,2,0,0,0,0,0,0,26115.70,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2015-12-21,1560,5,0,,,0,
20714529,1ATZ607,FIAT,,TALENTO,,CT,31,ZFAFFL009J5084292,,,,0,89,1,,2,0,0,0,0,0,0,23000.00,0.00,0.00,23000.00,0.00,0,0,-2,2020-02-11,2018-10-07,0,5,0,,,0,
20714533,1VRL387,NISSAN,,QASHQAI,,VP,12,SJNFEAJ11U1259043,,,,2014,85,1,,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,1,0,9,2022-04-26,2014-12-05,0,5,0,,,0,
20714537,1UGQ301,FORD,,RANGER,,CT,31,6FPPXXMJ2PJY53259,,,,2018,147,1,,2,0,0,0,1,0,0,0.00,0.00,0.00,29800.00,0.00,0,0,-1,2020-01-31,2018-05-04,0,5,0,,,0,
20714541,1RAY442,VOLVO,,VRACHTWAGEN/CAMION,,CV,31,YV2E4CAA24B370269,,,,2004,132,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2004-09-17,0,3,0,,,0,
20714545,1PYD558,RENAULT,,VRACHTWAGEN/CAMION,,CV,31,VF633AVB000104291,,,,2006,234,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2006-12-11,0,3,0,,,0,
20714549,1UGQ382,FORD,,RANGER,,CT,31,6FPPXXMJ2PJY53265,,,,2018,147,1,,2,0,0,0,1,0,0,0.00,0.00,0.00,30000.00,0.00,0,0,-1,2020-01-31,2018-05-04,0,5,0,,,0,
20714553,1VTF919,BMW,,SERIE-3,,VP,12,WBAVU11020K011758,408360,,,2007,90,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,2007-05-24,0,5,0,,,0,
20714557,1TUD168,"LAND ROVER",,"RANGE ROVER EVOQUE",,VP,11,SALVA2BN2HH263698,,,,2018,132,1,,2,0,0,0,1,0,1,46537.20,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2018-01-26,0,4,0,,,0,
20714561,1KVP152,NISSAN,,JUKE,,VP,12,SJNFCAF15U6149230,,,,2012,81,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2012-01-26,0,4,0,,,0,
20714565,1EBY769,BMW,,730,,VP,12,WBAKM41060C635707,,,,2011,155,1,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2011-06-01,0,4,0,,,0,
20714569,1GQW568,AUDI,,A3,,,12,WAUZZZ8V0GA032420,,,,0,110,1,,2,0,0,0,0,0,0,18304.76,0.00,0.00,18304.76,0.00,1,0,0,0000-00-00,2015-08-14,0,5,0,,,0,
20714573,1UPY609,IVECO,,VRACHTWAGEN/CAMION,,CV,31,WJMJ3JST00C095121,,,,2001,250,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2001-10-05,0,2,0,,,0,
20714577,1VTJ113,CHEVROLET,,KALOS,,VP,12,KL1SF08T15B368023,407445,,,2005,53,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,7,2020-01-31,2005-03-07,0,5,0,,,0,
20714581,DIV,PEUGEOT,,307,,,12,VF33CKFUB83490992,,,,0,65,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2004-03-23,0,5,0,,,0,
20714585,1VUJ304,PEUGEOT,,BIPPER,,,64,VF3AA8HSC84211673,,,,0,50,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,4,2020-01-29,2009-04-30,0,3,0,,,0,
20714589,1VUY382,VOLVO,,XC60,,,12,YV1DZ73C1F2664256,,,,0,133,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,11,2020-01-29,2014-09-04,0,5,0,,,0,
20714593,1PHA730,BMW,,520I,,,12,WBANA31010B009830,,,,0,125,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-29,2003-09-03,0,5,0,,,0,
20714597,1TEW235,VOLKSWAGEN,,GOLF,,,12,WVWZZZ1KZCW155135,,,,0,125,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-29,2011-10-31,0,5,0,,,0,
20714601,1VVC510,TOYOTA,,AYGO,,,12,JTDKGNEC90N015040,,,,0,51,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-29,2014-09-05,0,5,0,,,0,
20714605,1VVC514,CITROEN,,JUMPY,,,12,VF7XURHKHBZ007778,,,,0,88,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2011-02-24,0,5,0,,,0,
20714609,1VVC517,OPEL,,VIVARO,,,64,W0LF7AMA6CV611143,,,,0,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2012-01-05,0,3,0,,,0,
20714613,1VKQ071,PEUGEOT,,208,,,11,VF3CCHMRPJT097075,,,,0,61,1,,1,0,0,0,0,0,0,16482.64,0.00,0.00,16482.64,0.00,0,0,-2,2021-02-01,2018-12-06,0,5,0,,,0,
20714617,1SKA039,MERCEDES,,"GLE 350",,,11,WDC2923241A075531,,,,0,190,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,81999.30,0.00,0,0,-2,2020-01-29,2017-05-29,0,5,0,,,0,
20714621,1SKA055,RENAULT,,MASTER,,,64,VF1MA000855042584,,,,0,120,1,,2,0,0,0,0,0,0,39410.00,0.00,0.00,39410.00,0.00,0,0,0,2021-02-01,2017-05-29,0,3,0,,,0,
20714625,1AXQ435,MERCEDES,,"S 320",,,12,WDD2211801A276356,,,,0,173,1,,2,0,0,0,0,0,0,50000.00,0.00,0.00,50000.00,0.00,0,0,0,2021-02-01,2009-01-16,0,5,0,,,0,
20714629,1VKQ090,PEUGEOT,,208,,,11,VF3CCHMRPJW134444,,,,0,61,1,,1,0,0,0,0,0,1,16565.29,0.00,0.00,16565.29,0.00,0,0,-2,2021-02-01,2018-12-06,0,5,0,,,0,
20714633,1PEV643,MERCEDES,,"SERIE E BERLINE E 22",,VP,12,WDD2120021A836274,412983,,,2013,125,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,2013-07-02,0,5,0,,,0,
20714637,1FWN706,FIAT,,"DOBLO 5D/P 1.3MJTD62",,VP,11,ZFA22300005402098,408631,,,2006,62,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2006-04-11,0,5,0,,,0,
20714641,1VSQ121,"ANDER / AUTRE",,"PERSONENWAGEN/VOITURE TOURISME",,VP,12,VF1KC0JAF24861090,,,,2001,47,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,11,2020-01-31,2001-07-04,0,1,0,,,0,
20714645,1TJT044,OPEL,,COMBO,,CT,31,W0L0XCF0663071921,U01000,,,2006,55,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2006-08-31,0,5,0,,,0,
20714649,1VVC514,CITROEN,,JUMPY,,,64,VF7XURHKHBZ007778,U01388,,,0,88,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2011-02-24,0,3,0,,,0,
20714653,1VVC517,OPEL,,VIVARO,,,64,W0LF7AMA6CV611143,,,,0,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2012-01-05,0,3,0,,,0,
20714657,1LTK774,FORD,,FIESTA,,VP,12,WF0AXXGAJAXY67150,,,,1999,44,1,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,1999-08-03,0,4,0,,,0,
20714661,1VWF146,MERCEDES,,"SERIE S",,VP,12,WDD2210261A485611,,,,2012,190,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2012-05-11,0,4,0,,,0,
20714665,DIV,YAMAHA,,SA2.1,,,12,VTLSA211000037649,,,,0,0,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2005-04-27,49,0,0,,,0,
20714669,1TNL112,"ALFA ROMEO",,166,,VP,11,ZAR93600000080220,,,,2002,110,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2002-11-22,0,4,0,,,0,
20714677,1VXV460,OPEL,,CORSA,,VP,12,W0L0SBF68X4172365,964970,,,1999,40,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,1999-03-10,0,5,0,,,0,
20714681,1UCB761,RENAULT,,MEGANE,,,12,VF1KMKD0639469744,,,,0,85,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2008-03-31,0,5,0,,,0,
20714685,1HEY193,TOYOTA,,COROLLA,,,12,JTDKC20E100014318,,,,0,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2005-04-26,0,5,0,,,0,
20714689,1WBC491,PEUGEOT,,208,,VP,31,VF3CCHNPNJT095380,,,,0,81,1,,1,0,0,0,0,0,0,15333.00,0.00,0.00,15333.00,0.00,0,0,-2,2020-02-11,2019-04-11,0,5,0,,,0,
20714693,MAVE556,YAMAHA,,"YP 250",,M2,11,VTLSG221000025883,,,,2012,0,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2012-05-10,250,1,0,,,0,
20714697,1WFB822,MERCEDES,,"SERIE E",,VP,12,WDD2130041A453834,,,,2018,143,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,36000.00,0.00,1,0,1,2020-01-31,2018-04-18,0,5,0,,,0,
20714701,1WCV871,NISSAN,,MICRA,,,12,SNJEAAK11U3327856,,,,0,40,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,7,2020-01-29,2000-05-22,0,5,0,,,0,
20714705,1FXZ082,SEAT,,IBIZA,,,12,VSSZZZKJZJR123311,,,,0,55,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,2022-07-04,2018-01-27,0,5,0,,,0,
