risico_id,type,verzekerde,omschrijving,soort,aantal
20716369,051,,"B.A. Onderneming","B.A. Onderneming",0
20785791,16,,"Kantenpolijster Comandulli Musa 8+6 (met opties)",,0
20785793,16,,"Stofcabine Lunoluno CS40",,0
26147773,1,,"Industriële reiniging van werven, LEO BAEKELANDSTRAAT 77 - 2180 - EKEREN",,0
26147947,13,,"Lening - Verwarming, Isolatie en Sanitair",,0
26148831,4,,"Lening - 118039015262",,0
26151373,1,,Rechtsbijstand,,0
26151445,4,,"Familiale verzekering",,0
26153434,13,,"Overname aandelen",,0
26153444,12,,"Commercieel pand",,0
26153446,1,,"Ba uitbating",,0
26168520,13,,"Hyoptecaire lening",,0
26168668,1,,"Rechtsbijstand ",,0
26171521,13,,Lening,,0
26171715,13,,"Finan. Renting Ford transit connect ",,0
26171725,13,,"Lening ford transit europabank",,0
26171732,13,,"Autolening ford transit bank van breda",,0
26171833,13,,Fiets,,0
26171923,13,,"Finan. Renting Alpha Credit",,0
26171965,13,,"Finan. leing Europabank",,0
26172034,13,,"Persoonlijke lening",,0
26172060,8,,"Bouwplaat risico's",,0
26172074,12,,Inboedel,,0
26172131,13,,"Persoonlijke lening 10k",,0
26172133,13,,"Financiering voertuig jeep renegade",,0
26172217,13,,"Niet aanvaard",,0
26172226,13,,"Persoonlijke lening",,0
26172291,13,,"lening rennovatie",,0
26172293,3,,IPT,,0
26172894,13,,"Lening Mercedes Vito",,0
26172896,12,,Kassasysteem,,0
26172898,16,,"Koffie apparaten",,0
26172923,28,,Evenement,,0
26172925,28,,Evenement,,0
26172927,13,,"Lening Lynk & CO",,0
26172939,13,,"Persoonlijke lening, alpha credit",,0
26172952,13,,"Alpha credit persoonlijke lening",,0
26172969,13,,"Alpha credit",,0
26172973,13,,"Cofidis lening",,0
26172977,13,,"Alpha credit",,0
26173050,13,,Rennovatielening,,0
26173083,13,,"Terugbetaling lening, facturen",,0
26173087,13,,Cofidis,,0
26173097,13,,Rennovatielening,,0
26173099,13,,"Terugbetaling facturen lening",,0
26173103,13,,"Lening renting",,0
26173113,25,,"Pars assist reisverzekering",,0
26173158,13,,Pars,,0
26173196,13,,"10K Persoonlijke lening",,0
26173263,13,,"Persoonlijke lening",,0
26173272,13,,"15k - Persoonlijke lening",,0
26173277,13,,"Alpha credit lening",,0
26173299,13,,"Hypothecaire lening",,0
26173313,13,,"Persoonlijke leningen",,0
26173325,13,,"20k - Persoonlijke lening",,0
26173333,13,,"Alpha credit lening",,0
26173353,3,,IPT,,0
26173357,3,,IPT,,0
26173359,13,,"Persoonlijke leninigen",,0
26173365,13,,"Alpha lening",,0
26173410,13,,"Hypothecaire lening",,0
26173413,13,,"Zakenkrediet, lening",,0
26173553,4,,Rechtsbijstandverzekering,,0
26173593,13,,"Persoonlijke lening
",,0
26173609,13,,"LOA - Laser apparaat ",,0
26173647,13,,Autolening,,0
26173697,12,,"Autolening
",,0
26173705,13,,"LOA- Geldelijke Middelen",,0
26173709,13,,"Alpha credit lening",,0
26173723,13,,"Lening, renting",,0
26173725,25,,"Reisbijstand, pars assit",,0
26173803,25,,"Pars assist",,0
26173815,25,,reis,,0
26173829,25,,Pars,,0
26173843,25,,"Pars assist",,0
26173860,13,,"Renovatie werken",,0
26173863,25,,reis,,0
26174023,13,,/,,0
26174065,25,,"Pars assist reisbijstand",,0
26174077,25,,"Auto reisbijstand",,0
26174085,25,,"Auto reisbijstand",,0
26174089,25,,"Auto reisbijstand",,0
26174099,25,,"Auto reisbijstand",,0
26174105,25,,"Auto reisbijstand",,0
26174139,26,,"Auto reisbijstand",,0
26174145,25,,"Auto reisbijstand",,0
26174153,25,,"Auto reisbijstand",,0
26174155,28,,"	Evenement Open Antwerpen, 03/05/2026",,0
26174157,28,,"	Evenement Open Antwerpen, 22/11/2024-23/11/2024",,0
26174161,25,,"Auto reisbijstand",,0
26174163,25,,"Auto reisbijstand",,0
26174165,25,,"Auto reisbijstand",,0
26174175,25,,"Auto reisbijstand",,0
26174177,25,,"Auto reisbijstand",,0
26174191,25,,"Auto reisbijstand",,0
26174223,13,,"Europabank persoonlijke lening",,0
26174279,13,,"Renting, leasing",,0
26174294,13,,lening,,0
26174300,13,,"	Laarsebaan 84",,0
26174308,13,,"Peugeot boxer  2EAE605 ",,0
26174323,13,,"Persoonlijke lening",,0
26174327,13,,"Persoonlijke lening",,0
26174329,13,,"Persoonlijke lening",,0
26174353,13,,Lening,,0
26174357,25,,"Pars assist citroen",,0
26174363,13,,"Lening Mercedes-Benz GLA 180D",,0
26174367,25,,"Opel Meriva 1YDX118",,0
26174397,13,,Lening,,0
26174415,13,,"Renting CLA45",,0
26174429,1,,"VIva Wallet krediet",,0
26174433,13,,"Laaglandlaan 73 + Meereigen 3 - 5",,0
26174449,1,,"Kredietovereenkomsten ",,0
26174469,13,,Renovatie,,0
