waarborg_id,bm_toegepast,bm_referte,bm_vorige
89174553,0,,0
89174559,0,,0
89174574,11,,11
89174586,-2,,-2
89191941,3,3,
89191971,0,0,
89192880,0,0,
89210721,-2,,-2
89210727,0,,0
89210736,-2,,-2
89210742,0,,0
89226504,6,,6
89288202,1,1,
89288217,-2,-2,
89322037,10,,
89329029,0,0,
89339175,-2,,-2
89340213,-1,,-1
89340219,0,,0
89360070,-2,-2,
89385690,-2,-2,
89457052,-2,,-2
89457058,0,,0
89458753,0,,0
89464419,-2,-2,
89484801,-2,,-2
89492290,14,,
89503825,11,11,
89514018,-2,,-2
89517801,1,1,
89571016,-2,-2,
89582146,-2,-2,
89590893,0,,
89591058,0,,
89718384,-2,,-2
89718390,0,,0
89730021,-2,-2,
89743843,-2,-2,
89743885,0,0,
89768304,0,0,
89772713,-2,-2,
89818545,5,5,
89824516,6,6,
89824519,6,6,
89824528,6,6,
89824531,6,6,
89824540,6,6,
89824546,6,6,
89824549,6,6,
89824558,6,6,
89824561,6,6,
89824570,6,6,
89824579,6,6,
89824585,0,0,
89824588,0,0,
89824594,0,0,
89824600,0,0,
89824615,0,0,
89859957,0,,
89939258,-2,,-2
89939264,0,,0
90328176,0,,0
90328179,0,,0
90334071,-2,,-2
90347803,6,6,
90353836,8,8,
90353858,8,8,
90378916,-2,,-2
90391759,1,,1
90391777,-2,,
90396636,-2,,-2
90435723,-2,-2,
90438510,-2,,-2
90469485,0,0,
90472392,-2,,-2
90473568,0,,0
90480934,-2,,-2
90486126,-2,,-2
90486492,0,,0
90499377,0,0,
90595042,-1,-1,
90612250,-2,-2,
90667344,2,,
90689697,0,,0
90689709,0,,0
90702753,7,,
90705114,-2,,-2
90709893,-2,-2,
90718440,11,11,
90800815,0,0,
90862938,-2,,-2
90864553,0,0,
90868539,1,,
90872553,-2,,-2
90872559,0,,0
90872692,6,6,
90876900,0,0,-2
90878158,6,6,
90887847,5,5,
90908222,-2,,-2
90908226,0,,0
90909429,0,0,
90909433,-2,,-2
90954129,-2,,-2
90954135,0,,0
90956507,-2,,-2
90956513,0,,0
90959093,9,9,
90963540,-2,,
90963546,0,,
90997100,0,0,
90998160,0,0,
91042434,-2,-2,
91042587,-2,-2,
91060764,0,,0
91074234,0,0,
91082934,0,0,
91110540,2,,2
91112087,-2,,
91122875,-2,,-2
91122881,0,,0
91122890,-2,,
91122896,0,,
91162451,-2,,-2
91173833,9,,9
91211514,-2,-2,
91223874,6,6,
91241193,1,1,
91243566,-2,,-2
91243572,0,,0
91243586,-2,,-2
91243610,0,,0
91243616,0,,0
91255470,0,0,
91276203,4,,4
91306226,-2,,-2
91306232,0,,0
91309208,-2,,-2
91324814,-2,-2,
91324817,-2,-2,
91327323,-2,,-2
91328366,-2,,-2
91328372,0,,0
91335240,-2,,-2
91369416,3,3,
91380137,-2,,
91380213,-2,,-2
91380219,0,,0
91388508,0,0,
91395416,3,3,
91396901,5,,
91397211,7,7,
91410888,8,8,
91413597,-2,,-2
91438622,3,3,
91444283,-2,,-2
91445640,0,0,
91447559,2,,2
91447598,0,0,
91470008,-2,,-2
91470014,0,,0
91473365,-2,,-2
91486154,-2,-2,
91490073,-2,,-2
91490079,0,,0
91490124,0,0,
91490133,0,0,
91504446,7,,7
91505487,-2,-2,
91508667,-2,,-2
91562759,0,0,
91564883,-2,,
91564905,-2,-2,
91564932,-2,-2,
91605954,-2,,-2
91605963,0,,0
91624101,0,0,
91625279,-2,-2,
91636779,-2,-2,
91640376,-2,-2,
91640403,-2,,-2
91640412,0,,0
91646457,4,,4
91666716,4,,5
91666731,5,,5
91700928,8,8,
91705160,-2,-2,
91707783,-2,,-2
91712319,5,5,
91717749,5,5,
91751607,-2,,
91758465,-2,,-2
91758474,0,,0
91763892,0,0,
91768460,-2,,-2
91769087,-2,,-2
91779711,-2,,-2
91785149,-2,-2,
91789865,-2,-2,
91798680,1,1,
92326605,0,0,
92331070,-2,-2,
92338737,7,,
92360790,-2,,-2
92360796,0,,0
92367975,2,,
92410491,-2,-2,
92469208,11,11,
92475063,5,,5
92475975,-2,-2,
92499276,-2,-2,
92555214,-1,-1,
92559954,0,0,
92580679,-2,-2,
92676655,0,0,-2
92678766,-2,-2,
92714421,6,,6
92723208,-2,-2,
92741268,-2,,-2
92741277,0,,0
92771985,2,2,
92780748,-1,,-1
92780754,-1,,-1
92781247,-2,,-2
92796630,-2,-2,
92820615,0,,0
92820624,0,,0
92826339,-2,-2,
92843679,-2,-2,
92882554,-2,,-2
92887198,-1,,-1
92945895,2,2,
