schade_id,address_id,omstandigheden,omstandigheden_code,aansprakelijkheid,aansprakelijkheid_percent,materiele_schade,lichamelijke_schade,getuigen,schade_verzekerde,schade_derde
108593376,,,507,3,0,0,0,0,0.00,0.00
108593808,37171691,,573,3,0,0,0,0,0.00,0.00
108594136,,,501,1,0,0,0,0,0.00,0.00
108594530,,,0,,0,0,0,0,0.00,0.00
108594543,37163069,"Klant verlaat parking, rijdt tegenpartij aan",503,1,0,0,0,0,0.00,0.00
108594867,37163156,,514,1,0,0,0,0,0.00,0.00
108595236,,"Voertuig X staat geparkeerd of staat stil.vzde zou geparkeerde tgp hebben geraakt",0,1,0,0,0,0,0.00,0.00
108595454,,,0,1,0,0,0,0,0.00,0.00
108597681,37171620,,574,1,0,0,0,0,0.00,0.00
108597798,37172265,,0,,0,0,0,0,0.00,0.00
108600827,,"Verkeer in éénzelfde file. Y rijdt X achteraan aan.Ingereden op voorligger",0,1,0,0,0,0,0.00,0.00
108601844,,,0,3,0,0,0,0,0.00,0.00
108602192,,,544,1,0,0,0,0,0.00,0.00
108648972,,,0,,0,0,0,0,0.00,0.00
108667704,,,998,,0,0,0,0,0.00,0.00
108691353,37307703,,521,1,0,0,0,0,0.00,0.00
108712614,37335006,,0,,0,0,0,0,0.00,0.00
108715017,,"Vde had een vervangwagen (eigen wagen in de garage) en bijhet inladen van spullen is er iets tegen de wagen gevallen",0,,0,0,0,0,0.00,0.00
108715031,,,0,,0,0,0,0,0.00,0.00
108750644,37521938,,0,3,0,0,0,0,0.00,0.00
108772971,,,0,,0,0,0,0,0.00,0.00
108773532,,,0,,0,0,0,0,0.00,0.00
108777870,37461119,,511,,0,0,0,0,0.00,0.00
108843738,37569845,"afvoer bovenbuur verstopt, schade bij verzekerdeTW, eig, nt bew",0,,0,0,0,0,0.00,0.00
108851024,,"Foutief maneuver van Y, dat in oorzakelijk verband staat met het ongevalvz achteruit tegen tp",0,1,0,0,0,0,0.00,0.00
108868065,,,0,,0,0,0,0,0.00,0.00
108893985,41725002,,521,1,0,0,0,0,0.00,0.00
108916647,,,0,,0,0,0,0,0.00,0.00
108930993,37622937,,525,3,0,0,0,0,0.00,0.00
108931191,37613403,,998,,0,0,0,0,0.00,0.00
108939333,,"Vze was met kindje op bezoek bij tp. Tijdens het spelenheeft deze de TV van tp beschadigd.",0,,0,0,0,0,0.00,0.00
108984816,,,0,,0,0,0,0,0.00,0.00
108993975,37716419,,555,3,0,0,0,0,0.00,0.00
108995007,37703376,,536,1,0,0,0,0,0.00,0.00
108995055,37703520,"Verkeer in éénzelfde file. Y rijdt X achteraan aan.Vzde achteraan aangereden door tgp.",0,3,0,0,0,0,0.00,0.00
109002338,37716401,,574,1,0,0,0,0,0.00,0.00
109002567,,,0,,0,0,0,0,0.00,0.00
109042355,37800606,"Slotenmakertw, huur, pw&a+",0,,0,0,0,0,0.00,0.00
109065432,37877877,"TW - eig nt bewwaterschade",0,,0,0,0,0,0.00,0.00
109112327,,,0,,0,0,0,0,0.00,0.00
109241748,,"Verkeer in éénzelfde file. Y rijdt X achteraan aan.tp achterop vz",0,3,0,0,0,0,0.00,0.00
109348890,,"geparkeerd vtg tp aangereden - eigen eis in ss?",0,1,0,0,0,0,0.00,0.00
109383669,,,0,,0,0,0,0,0.00,0.00
109387131,,,0,3,0,0,0,0,0.00,0.00
109395428,,,339,1,0,0,0,0,0.00,0.00
109477355,,,357,3,0,0,0,0,0.00,0.00
109492160,,,0,,0,0,0,0,0.00,0.00
109588385,38254358,,528,3,0,0,0,0,0.00,0.00
109620596,38283416,,574,1,0,0,0,0,0.00,0.00
109621607,,,0,,0,0,0,0,0.00,0.00
109621836,,,0,,0,0,0,0,0.00,0.00
109686698,41405796,,536,1,0,0,0,0,0.00,0.00
109688829,38338887,,501,1,0,0,0,0,0.00,0.00
109705046,,"BRANDSCHADE VOERTUIG TP NA REINIGING ROETFILTER",0,,0,0,0,0,0.00,0.00
109731074,39470661,,998,1,0,0,0,0,0.00,0.00
109749539,,"Verkeer in éénzelfde file. Y rijdt X achteraan aan.vze reed tgp achteraan aan",0,1,0,0,0,0,0.00,0.00
109750925,38427230,,536,1,0,0,0,0,0.00,0.00
109751012,38432675,,507,3,0,0,0,0,0.00,0.00
109753148,38435459,,0,,0,0,0,0,0.00,0.00
