contract_id,risico_id
33904280,20713673
33904480,26147881
33904639,20914597
33904708,26172021
33906673,26173705
33907241,20714709
33907405,26173260
33907439,26171805
33907696,26171921
33907738,26172034
33907873,25815683
33907981,26172072
33908003,26172072
33908635,20914035
33909656,20904350
33909671,20904362
33909884,20904605
33909884,23487729
33909902,24749792
33915556,20988076
33915556,26169215
33915680,26169055
33915847,20915207
33915853,20915207
33915862,20915204
33915877,23930121
33916540,20946293
33917263,23129963
33918972,20912745
33918995,20912777
33919972,20913601
33924950,20914580
33924950,20914583
33925481,20915204
33925484,20915207
33925487,20915213
33934076,20922803
33934076,22658646
33934076,22658649
33936070,20928112
33938257,20930311
33938464,20930311
33940123,20928028
33940123,20961333
33940126,20928031
33940638,20928528
33940638,20928531
33940641,20928534
33940644,20928537
33942841,20929579
33942971,20929718
33943516,20930311
33947576,20930771
33947576,20930774
33947579,20930777
33952636,25966077
33952931,20961333
33953953,20932324
33953953,20932327
33953965,20932333
33955814,20932324
33955861,26171717
33955873,26171717
33966805,20940379
33966809,20940380
33966812,20940383
33969089,21668003
33970076,20943299
33970076,20943302
33970079,20943305
33983510,20954669
33991726,26173550
34024174,26168791
34024177,26168803
34024180,26168817
34024181,26168825
34024189,26168765
34024228,20715617
34024333,20714453
34024714,20714829
34024715,20714469
34024718,20714417
34024721,26168841
34024766,20714489
34025872,23930121
34026016,21156361
34026052,26169213
34026100,22691784
34026144,20985936
34026145,20988076
34026146,20985938
34026334,20814780
34026334,20814784
34028002,20928531
34028008,20928528
34028260,20928537
34028372,20988068
34028430,20988132
34028456,20713821
34028456,20714185
34028456,20988152
34028456,20988158
34028456,20988161
34028456,20988164
34028456,23925456
34031558,20991101
34034223,20993337
34034299,21013066
34034305,21001756
34034308,21013051
34034308,21013054
34034309,21013063
34034312,21013060
34034315,21013057
34034318,21001759
34034321,21013069
34034324,21616597
34034324,21616600
34034324,21616603
34035606,20994585
34035611,20994590
34036705,21159079
34036946,24560669
34038703,21212082
34038703,21212084
34082171,20713957
34082171,20713965
34082452,23326228
34082455,26173109
34083062,20713841
34083064,26168668
34083073,26171823
34083076,20714365
34083662,26171845
34083757,20714593
34083760,26169156
34083769,26171863
34083772,26171861
34083778,26168897
34083781,20713941
34083784,26171614
34084499,26171925
34084676,26171949
34084678,26172021
34084681,20713661
34084684,26172050
34084687,26172056
34084690,26172026
34084699,26173325
34084702,26172131
34122436,26169233
34122451,25086534
34152199,26148086
34152341,26085323
34180444,21157304
34180558,21158845
34184237,21157300
34185859,26048999
34185868,20713953
34187590,21634159
34187908,21160165
34188163,24224835
34213475,21603696
34213478,21603699
34213481,21603693
34213483,23067839
34243606,21212082
34243606,21212084
34248523,22654593
34248525,21219169
34266052,22692671
